id_combined,date,experiment,us,treatment,trust_promise,trust,promise,default_yes,default_no,promise_yes,reported_diceroll,correct_guess,age,female,education,universitydegree,sector,employed,highincome,politicalright,believeingod,believeinfreewill,generaltrust,age_35,am_politics,am_god,am_freewill,am_trust,reciprocity_norms,moral_obligation,consistency,negative_emotion,positive_emotion,activepromise_treatment,default_treatment
1,07/05/2019 16:04,1,0,Trust_promise,1,0,0,,,1,1,0,37,0,3,1,1,1,,6,10,10,9,1,0,1,1,1,,,,,,1,
4,07/05/2019 09:37,1,0,Control,0,0,0,,,,2,0,53,0,4,1,1,1,1,4,1,10,9,1,0,0,1,1,,,,,,0,
7,07/05/2019 09:37,1,0,Trust_promise,1,0,0,,,1,6,0,29,0,4,1,1,1,1,9,1,11,8,0,1,0,1,0,,,,,,1,
10,07/05/2019 09:38,1,0,Trust_promise,1,0,0,,,1,1,0,20,1,2,0,3,0,0,5,1,8,7,0,0,0,0,0,,,,,,1,
13,07/05/2019 09:38,1,0,Control,0,0,0,,,,2,0,66,1,2,0,1,1,0,10,10,6,9,1,1,1,0,1,,,,,,0,
16,07/05/2019 09:42,1,0,Control,0,0,0,,,,5,1,37,0,2,0,1,1,0,6,11,11,6,1,0,1,1,0,,,,,,0,
19,07/05/2019 09:46,1,0,Trust_promise,1,0,0,,,1,4,0,65,0,4,1,2,1,1,8,10,11,9,1,1,1,1,1,,,,,,1,
22,07/05/2019 09:48,1,0,Trust_promise,1,0,0,,,1,6,1,48,1,4,1,1,1,1,7,6,7,7,1,1,1,0,0,,,,,,1,
25,07/05/2019 09:59,1,0,Trust_promise,1,0,0,,,1,2,1,35,0,2,0,1,1,1,10,1,6,4,1,1,0,0,0,,,,,,1,
28,07/05/2019 09:53,1,0,Control,0,0,0,,,,4,1,66,1,3,1,2,1,1,9,9,10,7,1,1,1,1,0,,,,,,0,
31,07/08/2019 11:40,1,0,Control,0,0,0,,,,2,1,26,1,3,1,2,1,0,3,11,11,4,0,0,1,1,0,,,,,,0,
34,07/05/2019 10:03,1,0,Control,0,0,0,,,,1,0,60,1,4,1,2,1,1,6,11,11,6,1,0,1,1,0,,,,,,0,
37,07/05/2019 10:05,1,0,Trust_promise,1,0,0,,,1,3,0,26,1,3,1,2,1,0,6,3,8,7,0,0,0,0,0,,,,,,1,
40,07/05/2019 10:31,1,0,Control,0,0,0,,,,4,0,29,1,4,1,1,1,,6,2,10,6,0,0,0,1,0,,,,,,0,
43,07/05/2019 10:23,1,0,Control,0,0,0,,,,3,0,34,1,3,1,2,1,1,5,1,11,7,0,0,0,1,0,,,,,,0,
46,07/05/2019 10:26,1,0,Trust_promise,1,0,0,,,1,2,1,26,1,3,1,2,1,0,6,11,11,9,0,0,1,1,1,,,,,,1,
49,07/05/2019 10:39,1,0,Trust_promise,1,0,0,,,1,4,0,52,0,3,1,1,1,1,8,3,11,9,1,1,0,1,1,,,,,,1,
