Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,0,1.451(s),Adpative_Trial(3-1),3 & 4,1,0,1,$0.1
2,0,1.024(s),Adpative_Trial(3-1),3 & 4,1,0,1,$0.2
3,0,0.989(s),Adpative_Trial(3-1),4 & 3,1,0,1,$0.3
4,0,0.761(s),Control_Test_Trial(3-1),3 & 4,1,0,1,$0.4
5,0,1.671(s),Adpative_Test_Trial(10-2),11 & 12,-1,0,0,$0.15
6,0,0.963(s),Control_Trial(10-2),11 & 10,1,0,1,$0.25
7,0,0.899(s),Control_Trial(10-2),9 & 8,1,0,1,$0.35
8,0,0.867(s),Control_Trial(10-2),10 & 9,1,0,1,$0.45
9,0,0.866(s),Control_Test_Trial(10-2),11 & 12,-1,0,0,$0.2
10,0,1.049(s),Adpative_Test_Trial(3-1),3 & 4,1,0,1,$0.3
11,1,0.684(s),Adpative_Trial(4-2),4 & 3,1,0,1,$0.4
12,1,0.607(s),Adpative_Trial(4-2),4 & 5,1,0,1,$0.5
13,1,0.93(s),Adpative_Trial(4-2),2 & 3,-1,0,0,$0.25
14,1,0.89(s),Control_Test_Trial(4-2),3 & 2,1,0,1,$0.35
15,1,1.073(s),Adpative_Test_Trial(10-2),12 & 12,1,0,1,$0.45
16,1,1.162(s),Control_Trial(10-2),9 & 10,1,0,1,$0.55
17,1,0.975(s),Control_Trial(10-2),11 & 10,1,0,1,$0.65
18,1,0.722(s),Control_Trial(10-2),8 & 9,1,0,1,$0.75
19,1,0.719(s),Control_Test_Trial(10-2),12 & 12,1,0,1,$0.85
20,1,1.203(s),Adpative_Test_Trial(4-2),3 & 2,1,0,1,$0.95
21,2,0.671(s),Adpative_Trial(5-1),4 & 5,1,0,1,$1.05
22,2,0.812(s),Adpative_Trial(5-1),6 & 5,1,0,1,$1.15
23,2,0.676(s),Adpative_Trial(5-1),5 & 6,1,0,1,$1.25
24,2,0.734(s),Control_Test_Trial(5-1),5 & 6,1,0,1,$1.35
25,2,0.835(s),Adpative_Test_Trial(10-2),12 & 11,-1,0,0,$1.1
26,2,0.914(s),Control_Trial(10-2),11 & 10,1,0,1,$1.2
27,2,0.836(s),Control_Trial(10-2),11 & 10,1,0,1,$1.3
28,2,0.859(s),Control_Trial(10-2),11 & 10,1,0,1,$1.4
29,2,1.821(s),Control_Test_Trial(10-2),12 & 11,1,0,1,$1.5
30,2,0.964(s),Adpative_Test_Trial(5-1),5 & 6,1,0,1,$1.6
31,3,0.762(s),Adpative_Trial(6-1),6 & 5,1,0,1,$1.7
32,3,0.941(s),Adpative_Trial(6-1),6 & 5,1,0,1,$1.8
33,3,0.69(s),Adpative_Trial(6-1),6 & 7,1,0,1,$1.9
34,3,0.673(s),Control_Test_Trial(6-1),6 & 5,1,0,1,$2
35,3,0.659(s),Adpative_Test_Trial(10-2),11 & 11,1,0,1,$2.1
36,3,1.288(s),Control_Same_Color_Trial(10-2),10 & 10,1,0,1,$2.2
37,3,1.227(s),Control_Same_Color_Trial(10-2),9 & 9,0,0,0.5,$1.95
38,3,0.721(s),Control_Trial(10-2),10 & 11,-1,0,0,$1.7
39,3,1.159(s),Control_Test_Trial(10-2),11 & 11,1,0,1,$1.8
40,3,0.81(s),Adpative_Test_Trial(6-1),6 & 5,1,0,1,$1.9
41,4,0.677(s),Adpative_Same_Color_Trial(7-1),7 & 7,0,0,0.5,$1.65
42,4,0.703(s),Adpative_Trial(7-1),6 & 7,1,0,1,$1.75
43,4,1.182(s),Adpative_Trial(7-1),7 & 8,1,0,1,$1.85
44,4,0.722(s),Control_Test_Trial(7-1),7 & 6,1,0,1,$1.95
45,4,0.868(s),Adpative_Test_Trial(3-2),2 & 2,1,0,1,$2.05
46,4,0.811(s),Control_Trial(3-2),5 & 4,1,0,1,$2.15
47,4,1.137(s),Control_Trial(3-2),4 & 3,1,0,1,$2.25
48,4,0.787(s),Control_Trial(3-2),4 & 5,1,0,1,$2.35
49,4,0.987(s),Control_Test_Trial(3-2),2 & 2,1,0,1,$2.45
50,4,0.873(s),Adpative_Test_Trial(7-1),7 & 6,1,0,1,$2.55
51,5,0.851(s),Adpative_Trial(8-1),8 & 9,1,0,1,$2.65
52,5,0.971(s),Adpative_Trial(8-1),8 & 9,1,0,1,$2.75
53,5,0.928(s),Adpative_Same_Color_Trial(8-1),9 & 9,1,0,1,$2.85
54,5,0.743(s),Control_Test_Trial(8-1),8 & 7,1,0,1,$2.95
55,5,0.891(s),Adpative_Test_Trial(3-2),2 & 3,-1,0,0,$2.7
56,5,1.131(s),Control_Same_Color_Trial(3-2),2 & 2,1,0,1,$2.8
57,5,1.299(s),Control_Trial(3-2),2 & 1,1,0,1,$2.9
58,5,0.984(s),Control_Trial(3-2),2 & 1,1,0,1,$3
59,5,0.651(s),Control_Test_Trial(3-2),2 & 3,1,0,1,$3.1
60,5,0.996(s),Adpative_Test_Trial(8-1),8 & 7,1,0,1,$3.2
61,6,1.198(s),Adpative_Trial(9-1),9 & 8,1,0,1,$3.3
62,6,0.797(s),Adpative_Trial(9-1),9 & 8,1,0,1,$3.4
63,6,0.854(s),Adpative_Trial(9-1),9 & 8,1,0,1,$3.5
64,6,1.651(s),Control_Test_Trial(9-1),9 & 9,1,0,1,$3.6
65,6,0.907(s),Adpative_Test_Trial(3-2),3 & 4,1,0,1,$3.7
66,6,0.879(s),Control_Same_Color_Trial(3-2),3 & 3,1,0,1,$3.8
67,6,1.06(s),Control_Trial(3-2),4 & 5,1,0,1,$3.9
68,6,1.171(s),Control_Trial(3-2),3 & 4,1,0,1,$4
69,6,0.755(s),Control_Test_Trial(3-2),3 & 4,-1,0,0,$3.75
70,6,1.296(s),Adpative_Test_Trial(9-1),9 & 9,0,0,0.5,$3.5
71,7,1.307(s),Adpative_Trial(10-2),10 & 11,1,0,1,$3.6
72,7,0.732(s),Adpative_Trial(10-2),11 & 10,1,0,1,$3.7
73,7,0.956(s),Adpative_Trial(10-2),9 & 8,1,0,1,$3.8
74,7,0.799(s),Control_Test_Trial(10-2),9 & 8,1,0,1,$3.9
