Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,0,1.191(s),Adpative_Trial(3-1),3 & 4,1,0,1,$0.1
2,0,1.739(s),Control_Test_Trial(3-1),3 & 3,0,0,0.5,$-0.15
3,0,1.671(s),Adpative_Test_Trial(10-1),9 & 9,1,0,1,$-0.05
4,0,1.264(s),Control_Trial(10-1),9 & 10,1,0,1,$0.05
5,0,1.409(s),Control_Test_Trial(10-1),9 & 9,0,0,0.5,$-0.2
6,0,1.51(s),Adpative_Test_Trial(3-1),3 & 3,1,0,1,$-0.1
7,1,1.25(s),Adpative_Trial(4-2),3 & 2,1,0,1,$2.7755575615629E-17
8,1,1.753(s),Control_Test_Trial(4-2),3 & 4,1,0,1,$0.1
9,1,1.794(s),Adpative_Test_Trial(10-2),12 & 11,1,0,1,$0.2
10,1,1.493(s),Control_Trial(10-2),9 & 8,1,0,1,$0.3
11,1,1.578(s),Control_Test_Trial(10-2),12 & 11,-1,0,0,$0.05
12,1,1.495(s),Adpative_Test_Trial(4-2),3 & 4,1,0,1,$0.15
13,2,1.571(s),Adpative_Trial(5-1),5 & 6,1,0,1,$0.25
14,2,1.516(s),Control_Test_Trial(5-1),5 & 6,1,0,1,$0.35
15,2,1.519(s),Adpative_Test_Trial(10-2),12 & 11,-1,0,0,$0.1
16,2,1.164(s),Control_Trial(10-2),10 & 9,1,0,1,$0.2
17,2,1.617(s),Control_Test_Trial(10-2),12 & 11,0,0,0,$-0.05
18,2,1.223(s),Adpative_Test_Trial(5-1),5 & 6,1,0,1,$0.05
19,3,1.73(s),Adpative_Trial(6-1),7 & 6,1,0,1,$0.15
20,3,1.488(s),Control_Test_Trial(6-1),6 & 7,1,0,1,$0.25
21,3,1.681(s),Adpative_Test_Trial(3-1),2 & 3,1,0,1,$0.35
22,3,1.507(s),Control_Trial(3-1),3 & 2,1,0,1,$0.45
23,3,1.419(s),Control_Test_Trial(3-1),2 & 3,1,0,1,$0.55
24,3,1.505(s),Adpative_Test_Trial(6-1),6 & 7,1,0,1,$0.65
25,4,1.644(s),Adpative_Trial(7-1),7 & 8,1,0,1,$0.75
26,4,1.508(s),Control_Test_Trial(7-1),7 & 8,1,0,1,$0.85
27,4,1.412(s),Adpative_Test_Trial(3-2),3 & 3,0,0,0.5,$0.6
28,4,1.582(s),Control_Trial(3-2),2 & 1,1,0,1,$0.7
29,4,1.599(s),Control_Test_Trial(3-2),3 & 3,0,0,0.5,$0.45
30,4,1.569(s),Adpative_Test_Trial(7-1),7 & 8,1,0,1,$0.55
31,5,1.824(s),Adpative_Trial(8-1),8 & 9,1,0,1,$0.65
32,5,1.648(s),Control_Test_Trial(8-1),7 & 7,0,0,0.5,$0.4
33,5,1.65(s),Adpative_Test_Trial(4-2),3 & 2,1,0,1,$0.5
34,5,1.62(s),Control_Same_Color_Trial(4-2),4 & 4,0,0,0.5,$0.25
35,5,1.388(s),Control_Test_Trial(4-2),3 & 2,1,0,1,$0.35
36,5,1.575(s),Adpative_Test_Trial(8-1),7 & 7,1,0,1,$0.45
37,6,1.254(s),Adpative_Trial(9-1),10 & 9,1,0,1,$0.55
38,6,1.611(s),Control_Test_Trial(9-1),9 & 10,1,0,1,$0.65
39,6,1.603(s),Adpative_Test_Trial(3-1),3 & 4,1,0,1,$0.75
40,6,1.647(s),Control_Trial(3-1),3 & 4,1,0,1,$0.85
41,6,1.552(s),Control_Test_Trial(3-1),3 & 4,1,0,1,$0.95
42,6,1.532(s),Adpative_Test_Trial(9-1),9 & 10,1,0,1,$1.05
43,7,1.469(s),Adpative_Trial(10-1),9 & 10,1,0,1,$1.15
44,7,1.396(s),Control_Test_Trial(10-1),11 & 10,1,0,1,$1.25
45,7,1.537(s),Adpative_Test_Trial(4-2),3 & 2,1,0,1,$1.35
46,7,1.642(s),Control_Trial(4-2),5 & 4,1,0,1,$1.45
47,7,1.578(s),Control_Test_Trial(4-2),3 & 2,1,0,1,$1.55
48,7,1.559(s),Adpative_Test_Trial(10-1),11 & 10,1,0,1,$1.65
49,8,1.437(s),Adpative_Trial(3-1),3 & 4,1,0,1,$1.75
50,8,1.65(s),Control_Test_Trial(3-1),4 & 3,1,0,1,$1.85
51,8,1.544(s),Adpative_Test_Trial(10-1),10 & 10,0,0,0.5,$1.6
52,8,1.699(s),Control_Same_Color_Trial(10-1),10 & 10,0,0,0.5,$1.35
53,8,1.63(s),Control_Test_Trial(10-1),10 & 10,0,0,0.5,$1.1
54,8,1.36(s),Adpative_Test_Trial(3-1),4 & 3,1,0,1,$1.2
55,9,1.325(s),Adpative_Trial(4-1),4 & 5,1,0,1,$1.3
56,9,1.427(s),Control_Test_Trial(4-1),4 & 5,1,0,1,$1.4
57,9,1.768(s),Adpative_Test_Trial(9-2),10 & 10,0,0,0.5,$1.15
58,9,1.456(s),Control_Trial(9-2),8 & 7,1,0,1,$1.25
59,9,1.531(s),Control_Test_Trial(9-2),10 & 10,1,0,1,$1.35
60,9,1.599(s),Adpative_Test_Trial(4-1),4 & 5,1,0,1,$1.45
61,10,1.386(s),Adpative_Trial(5-1),5 & 4,1,0,1,$1.55
62,10,1.511(s),Control_Test_Trial(5-1),5 & 4,1,0,1,$1.65
63,10,1.594(s),Adpative_Test_Trial(10-1),10 & 11,-1,0,0,$1.4
64,10,1.398(s),Control_Trial(10-1),10 & 9,1,0,1,$1.5
65,10,1.273(s),Control_Test_Trial(10-1),10 & 11,1,0,1,$1.6
66,10,1.494(s),Adpative_Test_Trial(5-1),5 & 4,1,0,1,$1.7
67,11,1.363(s),Adpative_Trial(6-1),6 & 5,1,0,1,$1.8
68,11,1.59(s),Control_Test_Trial(6-1),5 & 5,1,0,1,$1.9
69,11,1.546(s),Adpative_Test_Trial(3-2),2 & 2,0,0,0.5,$1.65
70,11,1.489(s),Control_Trial(3-2),4 & 3,1,0,1,$1.75
71,11,1.493(s),Control_Test_Trial(3-2),2 & 2,0,0,0.5,$1.5
72,11,1.313(s),Adpative_Test_Trial(6-1),5 & 5,1,0,1,$1.6
73,12,1.389(s),Adpative_Trial(7-1),7 & 6,1,0,1,$1.7
74,12,1.146(s),Control_Test_Trial(7-1),6 & 7,1,0,1,$1.8
75,12,1.593(s),Adpative_Test_Trial(3-2),2 & 1,1,0,1,$1.9
76,12,1.31(s),Control_Same_Color_Trial(3-2),1 & 1,1,0,1,$2
77,12,1.237(s),Control_Test_Trial(3-2),2 & 1,1,0,1,$2.1
78,12,1.056(s),Adpative_Test_Trial(7-1),6 & 7,1,0,1,$2.2
79,13,1.473(s),Adpative_Trial(8-2),7 & 6,1,0,1,$2.3
