Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,0,1.597(s),Adpative_Trial(3-2),2 & 1,1,0,1,$0.1
2,0,1.006(s),Adpative_Trial(3-2),4 & 3,1,0,1,$0.2
3,0,1.035(s),Adpative_Trial(3-2),3 & 2,1,0,1,$0.3
4,0,0.652(s),Adpative_Trial(3-2),4 & 3,1,0,1,$0.4
5,0,0.78(s),Adpative_Trial(3-2),1 & 2,1,0,1,$0.5
6,0,0.621(s),Adpative_Trial(3-2),2 & 3,1,0,1,$0.6
7,0,0.978(s),Adpative_Trial(3-2),4 & 5,1,0,1,$0.7
8,0,0.868(s),Adpative_Trial(3-2),4 & 5,1,0,1,$0.8
9,0,0.898(s),Adpative_Trial(3-2),2 & 3,1,0,1,$0.9
10,0,0.843(s),Adpative_Trial(3-2),1 & 2,1,0,1,$1
11,0,0.85(s),Adpative_Trial(3-2),2 & 1,1,0,1,$1.1
12,0,0.948(s),Adpative_Trial(3-2),4 & 3,1,0,1,$1.2
13,0,1.099(s),Adpative_Same_Color_Trial(3-2),3 & 3,0,0,0.5,$0.95
14,0,0.851(s),Adpative_Trial(3-2),2 & 3,1,0,1,$1.05
15,0,0.789(s),Adpative_Trial(3-2),3 & 2,1,0,1,$1.15
16,0,0.636(s),Adpative_Trial(3-2),2 & 3,1,0,1,$1.25
17,0,0.689(s),Adpative_Trial(3-2),4 & 5,1,0,1,$1.35
18,0,0.505(s),Adpative_Trial(3-2),4 & 5,1,0,1,$1.45
19,0,0.762(s),Adpative_Trial(3-2),3 & 4,1,0,1,$1.55
20,0,1.468(s),Adpative_Same_Color_Trial(3-2),3 & 3,1,0,1,$1.65
21,0,0.821(s),Adpative_Trial(3-2),2 & 1,1,0,1,$1.75
22,0,0.972(s),Adpative_Trial(3-2),5 & 4,1,0,1,$1.85
23,0,0.94(s),Adpative_Trial(3-2),3 & 4,1,0,1,$1.95
24,0,1.016(s),Adpative_Trial(3-2),1 & 2,1,0,1,$2.05
25,0,0.747(s),Adpative_Trial(3-2),2 & 1,1,0,1,$2.15
26,0,0.618(s),Adpative_Trial(3-2),1 & 2,1,0,1,$2.25
27,0,0.764(s),Adpative_Trial(3-2),4 & 3,1,0,1,$2.35
28,0,0.999(s),Adpative_Trial(3-2),2 & 1,1,0,1,$2.45
29,0,0.921(s),Adpative_Trial(3-2),3 & 2,1,0,1,$2.55
30,0,0.898(s),Adpative_Trial(3-2),5 & 4,1,0,1,$2.65
31,0,1.199(s),Adpative_Trial(3-2),1 & 2,1,0,1,$2.75
32,0,0.731(s),Adpative_Trial(3-2),5 & 4,1,0,1,$2.85
33,0,0.724(s),Adpative_Trial(3-2),2 & 1,1,0,1,$2.95
34,0,1.037(s),Adpative_Same_Color_Trial(3-2),3 & 3,1,0,1,$3.05
35,0,0.689(s),Adpative_Trial(3-2),2 & 1,1,0,1,$3.15
36,0,0.6(s),Adpative_Trial(3-2),2 & 1,1,0,1,$3.25
37,0,0.758(s),Adpative_Trial(3-2),3 & 4,1,0,1,$3.35
38,0,0.669(s),Adpative_Trial(3-2),4 & 5,1,0,1,$3.45
39,0,0.747(s),Adpative_Trial(3-2),2 & 1,1,0,1,$3.55
40,0,1.412(s),Adpative_Same_Color_Trial(3-2),2 & 2,0,0,0.5,$3.3
