Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,6,0.819(s),Control_Trial(3-1),3 & 4,1,0,1,$0.1
2,6,0.851(s),Control_Trial(3-1),3 & 2,1,0,1,$0.2
3,6,0.626(s),Control_Trial(3-1),3 & 4,1,0,1,$0.3
4,6,1.298(s),Control_Same_Color_Trial(3-1),2 & 2,1,0,1,$0.4
5,6,0.624(s),Control_Trial(3-1),3 & 2,1,0,1,$0.5
6,6,0.786(s),Control_Trial(3-1),3 & 2,1,0,1,$0.6
7,6,1.235(s),Control_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$0.35
8,6,0.699(s),Control_Trial(3-1),3 & 2,1,0,1,$0.45
9,6,0.596(s),Control_Trial(3-1),2 & 3,1,0,1,$0.55
10,6,0.867(s),Control_Trial(3-1),3 & 4,1,0,1,$0.65
11,6,0.763(s),Control_Trial(3-1),3 & 2,1,0,1,$0.75
12,6,1.144(s),Control_Trial(3-1),4 & 3,1,0,1,$0.85
13,6,0.591(s),Control_Trial(3-1),3 & 4,1,0,1,$0.95
14,6,0.683(s),Control_Trial(3-1),3 & 2,1,0,1,$1.05
15,6,0.521(s),Control_Trial(3-1),3 & 4,1,0,1,$1.15
16,6,0.579(s),Control_Same_Color_Trial(3-1),4 & 4,0,0,0.5,$0.9
17,6,0.959(s),Control_Trial(3-1),3 & 2,1,0,1,$1
18,6,0.676(s),Control_Trial(3-1),3 & 2,1,0,1,$1.1
19,6,0.945(s),Control_Trial(3-1),3 & 2,1,0,1,$1.2
20,6,0.657(s),Control_Trial(3-1),3 & 4,1,0,1,$1.3
21,6,0.667(s),Control_Trial(3-1),3 & 4,1,0,1,$1.4
22,6,0.667(s),Control_Trial(3-1),3 & 2,1,0,1,$1.5
23,6,0.723(s),Control_Trial(3-1),3 & 2,1,0,1,$1.6
24,6,0.573(s),Control_Trial(3-1),3 & 4,1,0,1,$1.7
25,6,0.755(s),Control_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$1.45
26,6,1.105(s),Control_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$1.2
27,6,0.892(s),Control_Trial(3-1),3 & 2,1,0,1,$1.3
28,6,0.81(s),Control_Trial(3-1),3 & 2,1,0,1,$1.4
29,6,0.651(s),Control_Trial(3-1),2 & 3,1,0,1,$1.5
30,6,0.57(s),Control_Trial(3-1),4 & 3,1,0,1,$1.6
