participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,tt.1.player.id_in_group,tt.1.player.treatment,tt.1.player.context,tt.1.player.random_decision,tt.1.player.random_input,tt.1.player.choice,tt.1.player.order,tt.1.player.severity,tt.1.player.reputation,tt.1.player.choice_1,tt.1.player.choice_2,tt.1.player.choice_3,tt.1.player.choice_4,tt.1.player.choice_5,tt.1.player.belief_1,tt.1.player.belief_2,tt.1.player.belief_3,tt.1.player.belief_4,tt.1.player.belief_5,tt.1.player.payoff,tt.1.group.id_in_subsession,tt.1.subsession.round_number,wordscra.1.player.id_in_group,wordscra.1.player.word1_1,wordscra.1.player.word1_2,wordscra.1.player.word1_3,wordscra.1.player.word1_4,wordscra.1.player.word1_5,wordscra.1.player.word2_1,wordscra.1.player.word2_2,wordscra.1.player.word2_3,wordscra.1.player.word3_1,wordscra.1.player.word3_2,wordscra.1.player.word3_3,wordscra.1.player.word3_4,wordscra.1.player.word3_5,wordscra.1.player.word3_6,wordscra.1.player.word4_1,wordscra.1.player.word4_2,wordscra.1.player.word4_3,wordscra.1.player.word4_4,wordscra.1.player.word4_5,wordscra.1.player.word5_1,wordscra.1.player.word5_2,wordscra.1.player.word5_3,wordscra.1.player.word5_4,wordscra.1.player.word5_5,wordscra.1.player.word6_1,wordscra.1.player.word6_2,wordscra.1.player.word6_3,wordscra.1.player.word6_4,wordscra.1.player.payoff,wordscra.1.group.id_in_subsession,wordscra.1.subsession.round_number,postexp.1.player.id_in_group,postexp.1.player.finlit_1,postexp.1.player.finlit_2,postexp.1.player.finlit_3,postexp.1.player.finlit_4,postexp.1.player.finlit_5,postexp.1.player.risk_aversion1,postexp.1.player.risk_aversion2,postexp.1.player.pref1_1,postexp.1.player.pref1_2,postexp.1.player.pref1_3,postexp.1.player.pref1_4,postexp.1.player.pref2_1,postexp.1.player.pref2_2,postexp.1.player.pref2_3,postexp.1.player.crt4,postexp.1.player.crt5,postexp.1.player.crt6,postexp.1.player.crt7,postexp.1.player.age,postexp.1.player.female,postexp.1.player.income,postexp.1.player.education,postexp.1.player.jobfunction,postexp.1.player.jobfunctiongp,postexp.1.player.investment,postexp.1.player.whichinvestment,postexp.1.player.finnews,postexp.1.player.comments,postexp.1.player.matrikelnr,postexp.1.player.rate,postexp.1.player.random_code,postexp.1.player.payoff,postexp.1.group.id_in_subsession,postexp.1.subsession.round_number
1,opr7ndos,{{%PROLIFIC_PID%}},0,1,12,tt,Instructions,2020-01-08 08:13:11.790832+00:00,1,,,0,0,t3qqecpo,,,,,,0,0,1,1,su_ha_neu,neutral,3,choice_3,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
2,nu1njrq1,5a53b69176d1c60001aac043,0,12,12,postexp,Results,2020-01-08 08:21:23.378711+00:00,1,,,5,5,t3qqecpo,,,,,,0,0,1,2,sh_ha_fin,financial,4,choice_4,1,0,6,7,1,1,1,1,1,90,90,80,50,50,5,1,1,2,S,T,o,c,k,H,a,t,B,R,o,k,e,r,M,o,n,e,y,T,h,A,n,K,B,O,n,d,0,1,1,2,,,,,,6,,6,3,3,5,6,3,4,,,,,28,1,,4,3,,0,,,,,5,6756E,0,1,1
3,xy2o6qvg,571dd9b913b1b70009be2d86,0,12,12,postexp,Results,2020-01-08 08:21:33.094797+00:00,1,,,5,5,t3qqecpo,,,,,,0,0,1,3,su_ha_abs,abstract,2,choice_2,1,1,1,2,1,1,1,1,0,65,60,55,50,0,5,1,1,3,C,L,o,c,k,B,a,t,C,O,o,k,e,r,M,o,n,e,y,T,h,a,n,k,B,a,n,d,0,1,1,3,,,,,,3,,6,2,2,6,7,2,5,,,,,50,0,,3,8,,1,,,,,5,8502U,0,1,1
4,zf55kq2y,5a1d9acffe645f0001ea09e9,0,12,12,postexp,Results,2020-01-08 08:24:36.159314+00:00,1,,,3,3,t3qqecpo,,,,,,0,0,1,4,su_ha_fin,abstract,3,choice_3,0,1,6,7,0,0,0,0,0,75,40,20,10,0,3,1,1,4,F,L,o,c,k,C,a,t,C,H,o,k,e,r,M,o,n,e,y,T,h,I,n,G,B,O,n,d,0,1,1,4,,,,,,6,,6,6,6,7,7,3,5,,,,,26,0,,3,3,,0,,,,,4,4615I,0,1,1
5,hjv07ybi,5af2b7ce5847970001e3532b,0,12,12,postexp,Results,2020-01-08 09:05:06.049677+00:00,1,,,3,3,t3qqecpo,,,,,,0,0,1,5,su_ha_neu,abstract,3,choice_3,0,1,6,2,1,1,0,0,0,25,30,65,70,75,3,1,1,5,c,l,o,c,k,h,a,t,s,t,o,k,e,r,h,o,n,e,y,T,h,a,n,k,B,e,n,d,0,1,1,5,,,,,,5,,6,2,4,7,7,2,3,,,,,38,0,,4,0,,0,,,,,4,4065d,0,1,1
6,4f56hf2f,5ba7bd66d60daf0001533762,0,12,12,postexp,Results,2020-01-08 09:28:11.255603+00:00,1,,,3,3,t3qqecpo,,,,,,0,0,1,6,su_sev_fin,abstract,3,choice_3,0,1,7,5,0,0,0,0,0,15,12,10,5,0,3,1,1,6,s,t,o,c,k,v,a,t,b,r,o,k,e,r,m,o,n,e,y,T,h,i,n,k,B,o,n,d,0,1,1,6,,,,,,3,,5,5,5,5,6,3,3,,,,,27,1,,3,8,,0,,,,,4,8933Q,0,1,1
7,840vsdxk,5a625da431b87a0001c6de3a,0,12,12,postexp,Results,2020-01-08 11:44:23.092064+00:00,1,,,2,2,t3qqecpo,,,,,,0,0,1,7,sh_ha_fin,abstract,2,choice_2,0,0,7,7,0,0,0,0,0,25,40,45,60,60,2,1,1,7,s,t,o,c,k,s,a,t,s,m,o,k,e,r,m,o,n,e,y,T,h,a,n,k,B,o,n,d,0,1,1,7,,,,,,5,,7,2,5,6,6,4,4,,,,,41,1,,4,2,,0,,,,,4,1523Z,0,1,1
8,pj8fw2j8,5b3b9c0fdd6af000014d3255,0,12,12,postexp,Results,2020-01-08 11:50:54.758875+00:00,1,,,4,4,t3qqecpo,,,,,,0,0,1,8,su_sev_fin,abstract,4,choice_4,0,1,5,5,0,0,0,0,0,25,50,75,100,100,4,1,1,8,C,L,o,c,k,B,a,t,C,O,o,k,e,r,M,o,n,e,y,T,h,A,n,K,B,A,n,d,0,1,1,8,,,,,,1,,7,4,4,7,7,1,5,,,,,30,1,,4,8,,1,Shares,,,,5,3575X,0,1,1
9,kt80mhpi,58f4e5c590f5ff0001aef50c,0,12,12,postexp,Results,2020-01-08 12:12:19.244214+00:00,1,,,4,4,t3qqecpo,,,,,,0,0,1,9,su_sev_fin,abstract,4,choice_4,0,1,7,2,0,0,0,0,0,50,35,15,5,0,4,1,1,9,K,N,o,c,k,C,a,t,B,O,o,k,e,r,M,o,n,e,y,T,h,I,n,Y,B,A,n,d,0,1,1,9,,,,,,3,,5,2,2,5,7,1,4,,,,,30,0,,4,8,,1,Stocks and funds,,,,4,4646F,0,1,1
10,48k161s7,5873e83d1ed9d1000105084e,0,12,12,postexp,Results,2020-01-08 12:35:54.582644+00:00,1,,,5,5,t3qqecpo,,,,,,0,0,1,10,su_ha_neu,abstract,1,choice_1,1,0,2,2,1,1,0,0,0,80,75,50,20,0,5,1,1,10,s,h,o,c,k,s,a,t,c,h,o,k,e,r,h,o,n,e,y,T,h,a,n,k,B,e,n,d,0,1,1,10,,,,,,3,,5,5,5,6,7,5,3,,,,,34,1,,4,4,,0,,,,,5,5165q,0,1,1
