participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,tt.1.player.id_in_group,tt.1.player.treatment,tt.1.player.context,tt.1.player.random_decision,tt.1.player.random_input,tt.1.player.choice,tt.1.player.order,tt.1.player.severity,tt.1.player.reputation,tt.1.player.choice_1,tt.1.player.choice_2,tt.1.player.choice_3,tt.1.player.choice_4,tt.1.player.choice_5,tt.1.player.belief_1,tt.1.player.belief_2,tt.1.player.belief_3,tt.1.player.belief_4,tt.1.player.belief_5,tt.1.player.payoff,tt.1.group.id_in_subsession,tt.1.subsession.round_number,wordscra.1.player.id_in_group,wordscra.1.player.word1_1,wordscra.1.player.word1_2,wordscra.1.player.word1_3,wordscra.1.player.word1_4,wordscra.1.player.word1_5,wordscra.1.player.word2_1,wordscra.1.player.word2_2,wordscra.1.player.word2_3,wordscra.1.player.word3_1,wordscra.1.player.word3_2,wordscra.1.player.word3_3,wordscra.1.player.word3_4,wordscra.1.player.word3_5,wordscra.1.player.word3_6,wordscra.1.player.word4_1,wordscra.1.player.word4_2,wordscra.1.player.word4_3,wordscra.1.player.word4_4,wordscra.1.player.word4_5,wordscra.1.player.word5_1,wordscra.1.player.word5_2,wordscra.1.player.word5_3,wordscra.1.player.word5_4,wordscra.1.player.word5_5,wordscra.1.player.word6_1,wordscra.1.player.word6_2,wordscra.1.player.word6_3,wordscra.1.player.word6_4,wordscra.1.player.payoff,wordscra.1.group.id_in_subsession,wordscra.1.subsession.round_number,postexp.1.player.id_in_group,postexp.1.player.finlit_1,postexp.1.player.finlit_2,postexp.1.player.finlit_3,postexp.1.player.finlit_4,postexp.1.player.finlit_5,postexp.1.player.risk_aversion1,postexp.1.player.risk_aversion2,postexp.1.player.pref1_1,postexp.1.player.pref1_2,postexp.1.player.pref1_3,postexp.1.player.pref1_4,postexp.1.player.pref2_1,postexp.1.player.pref2_2,postexp.1.player.pref2_3,postexp.1.player.crt4,postexp.1.player.crt5,postexp.1.player.crt6,postexp.1.player.crt7,postexp.1.player.age,postexp.1.player.female,postexp.1.player.income,postexp.1.player.education,postexp.1.player.jobfunction,postexp.1.player.jobfunctiongp,postexp.1.player.investment,postexp.1.player.whichinvestment,postexp.1.player.finnews,postexp.1.player.comments,postexp.1.player.matrikelnr,postexp.1.player.rate,postexp.1.player.random_code,postexp.1.player.payoff,postexp.1.group.id_in_subsession,postexp.1.subsession.round_number
1,4t33xxkd,,0,1,12,tt,Instructions,2020-01-14 13:49:31.888144+00:00,1,,,0,0,o75chhp9,,,,,,0,1,0,1,sh_sev_fin,neutral,3,choice_3,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
2,7kupem8g,,0,12,12,postexp,Results,2020-01-14 14:01:21.251030+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,2,sh_sev_fin,financial,3,choice_3,1,0,7,1,0,0,1,1,1,5,28,53,87,95,5,1,1,2,F,R,o,c,k,H,a,t,C,O,o,k,e,r,H,o,n,e,y,T,h,i,n,k,B,A,n,d,0,1,1,2,,,,,,5,,5,3,5,7,7,2,5,,,,,21,1,,3,,,0,,1,,1632316,3,6612q,0,1,1
3,0jcu6j9b,,0,12,12,postexp,Results,2020-01-14 14:02:57.757261+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,3,sh_sev_fin,abstract,2,choice_2,1,0,7,6,1,1,1,1,0,100,100,85,75,50,5,1,1,3,C,l,o,c,k,F,a,t,B,R,o,k,e,r,M,o,n,e,y,T,h,a,n,k,B,e,n,d,0,1,1,3,,,,,,5,,5,2,2,6,6,2,6,,,,,26,0,,4,,,1,ETF Fond,4,,1652809,5,7370q,0,1,1
4,ddl9qmqb,,0,1,12,tt,Instructions,2020-01-14 14:03:53.704562+00:00,1,,,0,0,o75chhp9,,,,,,0,1,0,4,sh_sev_fin,abstract,1,choice_1,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
5,yo053rgn,,0,12,12,postexp,Results,2020-01-14 14:07:50.327383+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,5,sh_sev_fin,abstract,2,choice_2,1,0,4,4,0,1,0,1,0,30,56,17,34,63,5,1,1,5,c,l,o,c,k,c,a,t,m,i,o,k,e,r,h,o,n,e,y,T,h,i,n,k,B,a,n,d,0,1,1,5,,,,,,3,,2,7,7,7,7,6,2,,,,,58,1,,4,,,1,,2,,8017426,5,7883R,0,1,1
6,kvqoe5iw,,0,12,12,postexp,Results,2020-01-14 14:07:53.252378+00:00,1,,,3,3,o75chhp9,,,,,,0,1,0,6,sh_sev_fin,abstract,3,choice_3,0,1,5,2,1,1,0,0,0,70,60,40,20,10,3,1,1,6,C,l,o,c,k,C,a,t,B,r,o,k,e,r,M,o,n,e,y,T,h,i,n,k,B,a,n,d,0,1,1,6,,,,,,4,,3,5,4,7,7,5,6,,,,,20,1,,3,,,0,,1,"I like this kind of experiment. It makes you think (about yourself and what you would do in such a situation). Each answer might change the outcome. Therefore, it is not always easy to choose the right answer.",11811202,5,5644a,0,1,1
7,2ohmguik,,0,12,12,postexp,Results,2020-01-14 14:24:32.653510+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,7,sh_sev_fin,abstract,4,choice_4,1,1,3,1,1,1,1,1,1,70,80,85,90,100,5,1,1,7,c,l,o,c,k,o,a,t,b,l,o,k,e,r,m,o,n,e,y,T,h,i,n,k,B,a,n,d,0,1,1,7,,,,,,5,,6,2,2,5,6,2,6,,,,,26,1,,4,,,0,,0,,1614154,3,6947X,0,1,1
8,01ulfz5u,,0,12,12,postexp,Results,2020-01-14 14:25:39.019179+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,8,sh_sev_fin,abstract,4,choice_4,1,1,3,4,1,1,1,1,0,5,10,15,20,90,5,1,1,8,c,l,o,c,k,c,a,t,b,r,o,k,e,r,m,o,n,e,y,T,h,o,n,g,B,o,n,d,0,1,1,8,,,,,,3,,4,5,6,7,7,2,4,,,,,21,1,,3,,,0,,1,,11818904,4,1374h,0,1,1
9,qju6691b,,0,12,12,postexp,Results,2020-01-14 14:47:17.451443+00:00,1,,,2,2,o75chhp9,,,,,,0,1,0,9,sh_sev_fin,abstract,2,choice_2,0,0,5,4,0,0,0,1,1,20,60,60,50,90,2,1,1,9,C,l,o,c,k,R,a,t,B,r,o,k,e,r,H,o,n,e,y,T,h,i,n,k,B,o,n,d,0,1,1,9,,,,,,6,,2,5,6,6,5,6,4,,,,,23,0,,3,,,0,,3,,11774655,4,1714C,0,1,1
10,pxfkr3wj,,0,12,12,postexp,Results,2020-01-14 14:47:31.582072+00:00,1,,,5,5,o75chhp9,,,,,,0,1,0,10,sh_sev_fin,abstract,4,choice_4,1,1,1,1,1,1,1,1,0,100,95,95,90,10,5,1,1,10,c,l,o,c,k,r,a,t,b,r,o,k,e,r,h,o,n,e,y,T,h,i,n,g,B,o,n,d,0,1,1,10,,,,,,6,,5,2,2,6,7,1,4,,,,,23,0,,3,,,1,sports betting,2,,1640285,5,5547t,0,1,1
