session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,epoch_time,seconds_on_page,subsession_pk,auto_submitted
1,2,opzj5se4,1,tt,Instructions,1579011011,188,1,False
1,2,opzj5se4,2,tt,Task,1579011082,71,1,False
1,2,opzj5se4,3,tt,BeliefInstructions,1579011133,51,1,False
1,2,opzj5se4,4,tt,Beliefs,1579011246,113,1,False
1,2,opzj5se4,5,tt,Questions,1579011493,247,1,False
1,2,opzj5se4,6,wordscra,Task,1579011795,302,1,False
1,2,opzj5se4,7,postexp,Risk,1579011813,18,1,False
1,2,opzj5se4,8,postexp,Pref1,1579011949,136,1,False
1,2,opzj5se4,9,postexp,Pref2,1579011985,36,1,False
1,2,opzj5se4,10,postexp,Demographics,1579012950,965,1,False
1,2,opzj5se4,11,postexp,ResultsTask,1579012993,43,1,False
1,3,gvdupmtf,1,tt,Instructions,1579012275,75,1,False
1,3,gvdupmtf,2,tt,Task,1579012321,46,1,False
1,3,gvdupmtf,3,tt,BeliefInstructions,1579012334,13,1,False
1,3,gvdupmtf,4,tt,Beliefs,1579012368,34,1,False
1,3,gvdupmtf,5,tt,Questions,1579012427,59,1,False
1,3,gvdupmtf,6,wordscra,Task,1579012567,140,1,False
1,3,gvdupmtf,7,postexp,Risk,1579012576,9,1,False
1,3,gvdupmtf,8,postexp,Pref1,1579012627,51,1,False
1,3,gvdupmtf,9,postexp,Pref2,1579012647,20,1,False
1,3,gvdupmtf,10,postexp,Demographics,1579012706,59,1,False
1,3,gvdupmtf,11,postexp,ResultsTask,1579012713,7,1,False
1,5,uvscwc1y,1,tt,Instructions,1579013130,143,1,False
1,5,uvscwc1y,2,tt,Task,1579013193,63,1,False
1,5,uvscwc1y,3,tt,BeliefInstructions,1579013212,19,1,False
1,5,uvscwc1y,4,tt,Beliefs,1579013242,30,1,False
1,5,uvscwc1y,5,tt,Questions,1579013279,37,1,False
1,5,uvscwc1y,6,wordscra,Task,1579013565,286,1,False
1,5,uvscwc1y,7,postexp,Risk,1579013582,17,1,False
1,5,uvscwc1y,8,postexp,Pref1,1579013639,57,1,False
1,5,uvscwc1y,9,postexp,Pref2,1579013669,30,1,False
1,5,uvscwc1y,10,postexp,Demographics,1579013717,48,1,False
1,5,uvscwc1y,11,postexp,ResultsTask,1579013728,11,1,False
1,6,rr7ovkzc,1,tt,Instructions,1579013725,81,1,False
1,6,rr7ovkzc,2,tt,Task,1579013751,26,1,False
1,6,rr7ovkzc,3,tt,BeliefInstructions,1579013773,22,1,False
1,6,rr7ovkzc,4,tt,Beliefs,1579013806,33,1,False
1,6,rr7ovkzc,5,tt,Questions,1579013832,26,1,False
1,6,rr7ovkzc,6,wordscra,Task,1579013887,55,1,False
1,6,rr7ovkzc,7,postexp,Risk,1579013902,15,1,False
1,6,rr7ovkzc,8,postexp,Pref1,1579013985,83,1,False
1,6,rr7ovkzc,9,postexp,Pref2,1579014013,28,1,False
1,6,rr7ovkzc,10,postexp,Demographics,1579014049,36,1,False
1,6,rr7ovkzc,11,postexp,ResultsTask,1579014057,8,1,False
