participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,tt.1.player.id_in_group,tt.1.player.treatment,tt.1.player.context,tt.1.player.random_decision,tt.1.player.random_input,tt.1.player.choice,tt.1.player.order,tt.1.player.severity,tt.1.player.reputation,tt.1.player.choice_1,tt.1.player.choice_2,tt.1.player.choice_3,tt.1.player.choice_4,tt.1.player.choice_5,tt.1.player.belief_1,tt.1.player.belief_2,tt.1.player.belief_3,tt.1.player.belief_4,tt.1.player.belief_5,tt.1.player.payoff,tt.1.group.id_in_subsession,tt.1.subsession.round_number,wordscra.1.player.id_in_group,wordscra.1.player.word1_1,wordscra.1.player.word1_2,wordscra.1.player.word1_3,wordscra.1.player.word1_4,wordscra.1.player.word1_5,wordscra.1.player.word2_1,wordscra.1.player.word2_2,wordscra.1.player.word2_3,wordscra.1.player.word3_1,wordscra.1.player.word3_2,wordscra.1.player.word3_3,wordscra.1.player.word3_4,wordscra.1.player.word3_5,wordscra.1.player.word3_6,wordscra.1.player.word4_1,wordscra.1.player.word4_2,wordscra.1.player.word4_3,wordscra.1.player.word4_4,wordscra.1.player.word4_5,wordscra.1.player.word5_1,wordscra.1.player.word5_2,wordscra.1.player.word5_3,wordscra.1.player.word5_4,wordscra.1.player.word5_5,wordscra.1.player.word6_1,wordscra.1.player.word6_2,wordscra.1.player.word6_3,wordscra.1.player.word6_4,wordscra.1.player.payoff,wordscra.1.group.id_in_subsession,wordscra.1.subsession.round_number,postexp.1.player.id_in_group,postexp.1.player.finlit_1,postexp.1.player.finlit_2,postexp.1.player.finlit_3,postexp.1.player.finlit_4,postexp.1.player.finlit_5,postexp.1.player.risk_aversion1,postexp.1.player.risk_aversion2,postexp.1.player.pref1_1,postexp.1.player.pref1_2,postexp.1.player.pref1_3,postexp.1.player.pref1_4,postexp.1.player.pref2_1,postexp.1.player.pref2_2,postexp.1.player.pref2_3,postexp.1.player.crt4,postexp.1.player.crt5,postexp.1.player.crt6,postexp.1.player.crt7,postexp.1.player.age,postexp.1.player.female,postexp.1.player.income,postexp.1.player.education,postexp.1.player.jobfunction,postexp.1.player.jobfunctiongp,postexp.1.player.investment,postexp.1.player.whichinvestment,postexp.1.player.finnews,postexp.1.player.comments,postexp.1.player.matrikelnr,postexp.1.player.rate,postexp.1.player.random_code,postexp.1.player.payoff,postexp.1.group.id_in_subsession,postexp.1.subsession.round_number
1,tozeo3nz,,0,1,12,tt,Instructions,2020-01-14 13:54:22.190065+00:00,1,,,0,0,s1pa9lws,,,,,,0,0,1,1,su_ha_neu,neutral,2,choice_2,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
2,opzj5se4,,0,12,12,postexp,Results,2020-01-14 14:07:03.327137+00:00,1,,,5,5,s1pa9lws,,,,,,0,0,1,2,su_ha_neu,financial,1,choice_1,1,0,6,5,1,0,0,0,0,95,90,75,45,0,5,1,1,2,S,t,o,c,k,C,a,t,C,o,o,k,e,r,M,o,n,e,y,T,h,i,n,k,B,a,n,d,0,1,1,2,,,,,,4,,6,1,7,7,7,1,5,,,,,19,1,,4,,,0,,2,"I think the experiment was very good. I am actually a person who hates lying, because of the consequences for example. But in the situation (with the amount of money) I started to think differently. I thought that if I would lie to him one time, he surely will not notice. But that is what's not good at all. I even felt bad, when I ticked my answer. Crazy.   I did the experiment totally in the way I would act but right now I am asking myself, if people are ticking their answers on how they would react and how they are, or just how a very good person would do it?     Thank you very much and please ignore my grammar mistakes in these sentences. :)",11816148,5,4116y,0,1,1
3,gvdupmtf,,0,12,12,postexp,Results,2020-01-14 14:30:00.441436+00:00,1,,,5,5,s1pa9lws,,,,,,0,0,1,3,su_ha_neu,abstract,1,choice_1,1,0,2,4,1,1,1,1,0,100,100,100,95,20,5,1,1,3,b,l,o,c,k,h,a,t,c,h,o,k,e,r,h,o,n,e,y,T,h,i,n,k,B,o,n,d,0,1,1,3,,,,,,5,,2,6,4,5,6,5,2,,,,,21,0,,3,,,0,,1,,11835078,5,4073X,0,1,1
4,3xzg8dac,,0,1,12,tt,Instructions,2020-01-14 14:40:54.128124+00:00,1,,,0,0,s1pa9lws,,,,,,0,0,1,4,su_ha_neu,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
5,uvscwc1y,,0,12,12,postexp,Results,2020-01-14 14:43:07.017383+00:00,1,,,4,4,s1pa9lws,,,,,,0,0,1,5,su_ha_neu,abstract,4,choice_4,0,0,6,6,1,1,0,0,0,95,95,90,90,5,4,1,1,5,f,l,o,c,k,m,a,t,s,m,o,k,e,r,h,o,n,e,y,T,h,i,n,s,B,e,n,d,0,1,1,5,,,,,,6,,7,6,6,6,7,6,4,,,,,22,1,,4,,,0,,3,,1607017,5,9827o,0,1,1
6,rr7ovkzc,,0,12,12,postexp,Results,2020-01-14 14:54:04.746986+00:00,1,,,5,5,s1pa9lws,,,,,,0,0,1,6,su_ha_neu,abstract,3,choice_3,1,0,5,3,1,1,1,1,0,100,100,100,95,50,5,1,1,6,c,l,o,c,k,c,a,t,b,r,o,k,e,r,m,o,n,e,y,T,h,a,n,k,B,o,n,d,0,1,1,6,,,,,,4,,5,4,4,6,6,4,2,,,,,33,1,,4,,,0,,2,,416165,5,3341e,0,1,1
7,kzsy4l5e,,0,1,12,tt,Instructions,2020-01-14 14:55:34.216197+00:00,1,,,0,0,s1pa9lws,,,,,,0,0,1,7,su_ha_neu,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
8,fpxg8x4p,,0,12,12,postexp,Results,2020-01-14 15:46:40.970334+00:00,1,,,5,5,s1pa9lws,,,,,,0,0,1,8,su_ha_neu,abstract,3,choice_3,1,0,1,1,1,1,1,1,0,100,95,90,80,10,5,1,1,8,C,L,o,c,k,C,a,t,s,t,o,k,e,r,H,o,n,e,y,T,h,i,n,y,B,o,n,d,0,1,1,8,,,,,,2,,6,4,4,5,6,2,4,,,,,24,1,,4,,,1,,0,,1637490,2,4415l,0,1,1
9,hqt49vja,,0,12,12,postexp,Results,2020-01-14 16:18:27.913255+00:00,1,,,5,5,s1pa9lws,,,,,,0,0,1,9,su_ha_neu,abstract,4,choice_4,1,1,7,1,1,1,1,1,0,5,5,20,30,0,5,1,1,9,C,l,o,c,k,C,a,t,S,t,o,k,e,r,H,o,n,e,y,T,h,i,n,k,B,a,n,d,0,1,1,9,,,,,,7,,5,7,7,1,7,7,1,,,,,27,0,,4,,,1,,3,If you ask about expecting a benefit for doing something good everyone is expecting a benefit. The expectations just vary and can be extrinsic and intrinsic.,51815627,4,9103w,0,1,1
10,eynq1y0w,,0,12,12,postexp,Results,2020-01-14 18:21:46.394216+00:00,1,,,5,5,s1pa9lws,,,,,,0,0,1,10,su_ha_neu,abstract,1,choice_1,1,1,1,1,1,1,1,1,1,90,90,95,100,100,5,1,1,10,f,r,o,c,k,C,a,t,l,o,o,k,e,r,H,o,n,e,y,T,h,a,n,e,B,o,n,d,0,1,1,10,,,,,,4,,6,2,5,6,6,2,6,,,,,23,0,,4,,,0,,1,,1614013,3,4499H,0,1,1
