"participant","type","svo_angle","luck","merit","political_orientation","economic_ideology","social_ideology","pair","type_in_pair","coop","coop_rel","earn","earn_rel"
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"HHHH","HH",75,100,NA,50.1960784313725
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"HHHL","HH",75,100,NA,50.2222222222222
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"HHHL","HL",75,100,NA,50.2222222222222
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"HHLH","HH",75,100,NA,50.5882352941176
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"HHLH","LH",25,100,NA,50
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"HHLL","HH",75,100,NA,50.625
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"HHLL","LL",25,100,NA,50
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"HLHL","HL",75,100,NA,50.2564102564103
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"HLLH","HL",75,100,NA,50.7142857142857
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"HLLH","LH",25,100,NA,50
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"HLLL","HL",75,100,NA,50.7692307692308
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"HLLL","LL",25,100,NA,50
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"LHLH","LH",25,100,NA,50.5882352941176
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"LHLL","LH",25,100,NA,50.6666666666667
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"LHLL","LL",25,100,NA,50.6666666666667
"R_1eFTHBHeb8TwvkL","HH",34.88,3,2,3,3,3,"LLLL","LL",25,100,NA,50.7692307692308
"R_3dEuhLYzSJsiF3w","HH",30.43,1,2,1,6,1,"HHHH","HH",30,40,NA,50.1960784313725
"R_3dEuhLYzSJsiF3w","HH",30.43,1,2,1,6,1,"HHHL","HH",30,40,NA,56
"R_3dEuhLYzSJsiF3w","HH",30.43,1,2,1,6,1,"HHHL","HL",40,53.3333333333333,NA,44.4444444444444
"R_3dEuhLYzSJsiF3w","HH",30.43,1,2,1,6,1,"HHLH","HH",30,40,NA,58.8235294117647
"R_3dEuhLYzSJsiF3w","HH",30.43,1,2,1,6,1,"HHLH","LH",15,60,NA,41.7647058823529
