"pp","type","endowment","productivity","svo_angle","svo_category","svo_totalself","svo_totalother","pref_1","pref_2","pref_3","pref_4","coop_HH","coop_HL","coop_LH","coop_LL","belief_HH","belief_HL","belief_LH","belief_LL","create_types","create_types_MC","create_types_MC_other","create_pairs_HH","create_pairs_HL","create_pairs_LH","create_pairs_LL","create_pairs_MC","create_pairs_MC_other","fair_con_HHHH_HH","fair_con_HHHL_HH","fair_con_HHHL_HL","fair_con_HHLH_HH","fair_con_HHLH_LH","fair_con_HHLL_HH","fair_con_HHLL_LL","fair_con_HLHL_HL","fair_con_HLLH_HL","fair_con_HLLH_LH","fair_con_HLLL_HL","fair_con_HLLL_LL","fair_con_LHLH_LH","fair_con_LHLL_LH","fair_con_LHLL_LL","fair_con_LLLL_LL","faircoop_MC","faircoop_MC_other","fair_earn_HHHH_HH_1","fair_earn_HHHH_HH_2","fair_earn_HHHL_HH","fair_earn_HHHL_HL","fair_earn_HHLH_HH","fair_earn_HHLH_LH","fair_earn_HHLL_HH","fair_earn_HHLL_LL","fair_earn_HLHL_HL_1","fair_earn_HLHL_HL_2","fair_earn_HLLH_HL","fair_earn_HLLH_LH","fair_earn_HLLL_HL","fair_earn_HLLL_LL","fair_earn_LHLH_LH_1","fair_earn_LHLH_LH_2","fair_earn_LHLL_LH","fair_earn_LHLL_LL","fair_earn_LLLL_LL_1","fair_earn_LLLL_LL_2","fairearn_MC","fairearn_MC_other","inequality_beliefs1_1","inequality_beliefs1_2","inequality_beliefs1_3","inequality_beliefs1_4","inequality_beliefs2_1","inequality_beliefs2_2","inequality_beliefs2_3","inequality_beliefs2_4","inequality_beliefs2_5","inequality_attitudes_1","inequality_attitudes_2","gender","age","country","education","political_orientation","social_ideology","economic_ideology","fair_con_HHHH_HH_rel","fair_con_HHHL_HH_rel","fair_con_HHHL_HL_rel","fair_con_HHLH_HH_rel","fair_con_HHLH_LH_rel","fair_con_HHLL_HH_rel","fair_con_HHLL_LL_rel","fair_con_HLHL_HL_rel","fair_con_HLLH_HL_rel","fair_con_HLLH_LH_rel","fair_con_HLLL_HL_rel","fair_con_HLLL_LL_rel","fair_con_LHLH_LH_rel","fair_con_LHLL_LH_rel","fair_con_LHLL_LL_rel","fair_con_LLLL_LL_rel","fair_earn_HHHH_HH_rel","fair_earn_HHHL_HH_rel","fair_earn_HHHL_HL_rel","fair_earn_HHLH_HH_rel","fair_earn_HHLH_LH_rel","fair_earn_HHLL_HH_rel","fair_earn_HHLL_LL_rel","fair_earn_HLHL_HL_rel","fair_earn_HLLH_HL_rel","fair_earn_HLLH_LH_rel","fair_earn_HLLL_HL_rel","fair_earn_HLLL_LL_rel","fair_earn_LHLH_LH_rel","fair_earn_LHLL_LH_rel","fair_earn_LHLL_LL_rel","fair_earn_LLLL_LL_rel","inequality_beliefs1_1_num","inequality_beliefs1_2_num","inequality_beliefs1_3_num","inequality_beliefs1_4_num","inequality_beliefs2_1_num","inequality_beliefs2_2_num","inequality_beliefs2_3_num","inequality_beliefs2_4_num","inequality_beliefs2_5_num","inequality_attitudes_1_num","inequality_attitudes_2_num","merit","luck"
"R_1eFTHBHeb8TwvkL","HH",75,1.7,34.88,"Prosocial",1298,1228,"HH","HL","LH","LL",75,75,75,75,30,20,20,20,"HL-LH","Welfare","","LL","LH","HL","HH","Inequality","",75,75,75,75,25,75,25,75,75,25,75,25,25,25,25,25,"Welfare","",128,128,113,113,86,85,81,80,98,98,71,70,66,65,43,43,38,38,33,33,"Inequality","","disagree somewhat","neither agree
nor disagree","disagree somewhat","disagree somewhat","disagree somewhat","disagree somewhat","disagree somewhat","agree somewhat","strongly disagree","agree somewhat","strongly agree","Female",43,"United Kingdom of Great Britain and Northern Ireland","Doctoral degree",3,3,3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50.1960784313725,50.2222222222222,50.2222222222222,50.5882352941176,50,50.625,50,50.2564102564103,50.7142857142857,50,50.7692307692308,50,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,3,2,2,2,2,2,4,1,4,5,2,3
"R_3dEuhLYzSJsiF3w","HH",75,1.7,30.43,"Prosocial",1296,1208,"HH","HL","LH","LL",30,30,30,30,50,30,13,15,"HL-LH","Inequality","","HH","HL","LL","LH","Welfare","",30,30,40,30,15,30,15,30,30,15,30,15,15,15,15,15,"Welfare","",128,128,126,100,100,71,120,41,98,98,81,60,69,62,43,43,38,38,33,33,"Inequality","","disagree somewhat","strongly disagree","strongly disagree","strongly disagree","strongly disagree","strongly disagree","neither agree
nor disagree","agree somewhat","strongly disagree","strongly agree","strongly agree","Male",44,"United Kingdom of Great Britain and Northern Ireland","High school graduate (high school diploma or equivalent including GED)",1,1,6,40,40,53.3333333333333,40,60,40,60,40,40,60,40,60,60,60,60,60,50.1960784313725,56,44.4444444444444,58.8235294117647,41.7647058823529,75,25.625,50.2564102564103,57.8571428571429,42.8571428571429,53.0769230769231,47.6923076923077,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,1,1,1,1,1,3,4,1,5,5,2,1
"R_2f9HpGzCTjCXCXP","HH",75,1.7,34.88,"Prosocial",1288,1225,"HH","LH","HL","LL",75,60,25,10,75,75,25,10,"HL-LH","Welfare","","HH","HL","LH","LL","Similarity","",75,60,75,25,25,10,10,75,30,25,25,25,25,10,10,25,"Welfare","",128,128,113,113,85.5,85.5,80.5,80.5,98,98,70.5,70.5,65.5,65.5,43,43,38,38,33,33,"Similarity","","disagree somewhat","agree somewhat","agree somewhat","disagree somewhat","strongly agree","disagree somewhat","strongly agree","strongly agree","disagree somewhat","agree somewhat","strongly agree","Female",36,"United Kingdom of Great Britain and Northern Ireland","Master's degree",2,2,4,100,80,100,33.3333333333333,100,13.3333333333333,40,100,40,100,33.3333333333333,100,100,40,40,100,50.1960784313725,50.2222222222222,50.2222222222222,50.2941176470588,50.2941176470588,50.3125,50.3125,50.2564102564103,50.3571428571429,50.3571428571429,50.3846153846154,50.3846153846154,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,4,4,2,5,2,5,5,2,4,5,2,4
"R_phDrYC2Bcf9FUvT","HH",75,1.7,7.82,"Individualistic",1455,1075,"HH","HL","LH","LL",50,25,35,30,25,10,15,10,"HL-LH","Random","","LL","LH","HL","HH","Inequality","",30,30,20,30,10,35,10,25,25,10,30,10,15,15,10,10,"Inequality","",128,128,113,113,85.5,85.5,80.5,80.5,98,98,70.5,70.5,65.5,65.5,43,43,38,38,33,33,"Inequality","","agree somewhat","neither agree
nor disagree","disagree somewhat","disagree somewhat","strongly agree","strongly agree","strongly agree","strongly agree","agree somewhat","strongly agree","strongly agree","Male",33,"United Kingdom of Great Britain and Northern Ireland","Bachelor's degree in college (4-year)",4,4,4,40,40,26.6666666666667,40,40,46.6666666666667,40,33.3333333333333,33.3333333333333,40,40,40,60,60,40,40,50.1960784313725,50.2222222222222,50.2222222222222,50.2941176470588,50.2941176470588,50.3125,50.3125,50.2564102564103,50.3571428571429,50.3571428571429,50.3846153846154,50.3846153846154,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,4,3,2,2,5,5,5,5,4,5,5,4,3
"R_25MhNjDR5Kcw99l","HH",75,1.7,-11.58,"Individualistic",1444,990,"LL","LH","HH","HL",25,10,5,15,25,25,5,10,"HL-LH","Welfare","","LL","HH","HL","LH","Random","",20,20,30,30,15,45,20,30,15,15,20,10,15,15,15,10,"Random","",128,128,200,26,171,0,100,61,100,96,90,51,30,101,43,43,1,75,33,33,"Similarity","","strongly disagree","strongly disagree","strongly disagree","strongly disagree","strongly agree","strongly disagree","strongly disagree","strongly disagree","agree somewhat","strongly agree","strongly agree","Male",22,"United Kingdom of Great Britain and Northern Ireland","High school graduate (high school diploma or equivalent including GED)",2,1,1,26.6666666666667,26.6666666666667,40,40,60,60,80,40,20,60,26.6666666666667,40,60,60,60,40,50.1960784313725,88.8888888888889,11.5555555555556,100.588235294118,0,62.5,38.125,51.2820512820513,64.2857142857143,36.4285714285714,23.0769230769231,77.6923076923077,50.5882352941176,1.33333333333333,100,50.7692307692308,1,1,1,1,5,1,1,1,4,5,5,1,1
"R_3D0Uq4ctL23d3kf","HH",75,1.7,7.82,"Individualistic",1455,1075,"HH","HL","LH","LL",50,60,30,25,60,60,15,15,"HH-LL","Welfare","","HH","HL","LH","LL","Inequality","",75,60,60,60,15,60,15,50,50,15,50,20,25,15,15,20,"Welfare","",128,128,113,113,85.5,85.5,80.5,80.5,98,98,70.5,70.5,65.5,65.5,43,43,38,38,33,33,"Inequality","","strongly disagree","agree somewhat","disagree somewhat","agree somewhat","strongly agree","agree somewhat","agree somewhat","strongly agree","strongly disagree","strongly agree","strongly agree","Female",23,"United Kingdom of Great Britain and Northern Ireland","Bachelor's degree in college (4-year)",3,2,3,100,80,80,80,60,80,60,66.6666666666667,66.6666666666667,60,66.6666666666667,80,100,60,60,80,50.1960784313725,50.2222222222222,50.2222222222222,50.2941176470588,50.2941176470588,50.3125,50.3125,50.2564102564103,50.3571428571429,50.3571428571429,50.3846153846154,50.3846153846154,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,1,4,2,4,5,4,4,5,1,5,5,1,4
"R_xsgvbGAR7CGVYOt","HH",75,1.7,30.09,"Prosocial",1239,1229,"HH","HL","LL","LH",10,10,10,10,10,10,10,10,"HH-LL","Similarity","","HL","HH","LL","LH","Inequality","",20,20,20,20,10,20,10,20,20,10,20,10,10,10,10,10,"Welfare","",128,128,113,113,86,85,80,81,98,98,51,90,31,100,43,43,36,40,33,33,"Inequality","","neither agree
nor disagree","neither agree
nor disagree","neither agree
nor disagree","neither agree
nor disagree","neither agree
nor disagree","neither agree
nor disagree","neither agree
nor disagree","neither agree
nor disagree","neither agree
nor disagree","neither agree
nor disagree","neither agree
nor disagree","Female",36,"United Kingdom of Great Britain and Northern Ireland","Master's degree",4,4,4,26.6666666666667,26.6666666666667,26.6666666666667,26.6666666666667,40,26.6666666666667,40,26.6666666666667,26.6666666666667,40,26.6666666666667,40,40,40,40,40,50.1960784313725,50.2222222222222,50.2222222222222,50.5882352941176,50,50,50.625,50.2564102564103,36.4285714285714,64.2857142857143,23.8461538461538,76.9230769230769,50.5882352941176,48,53.3333333333333,50.7692307692308,3,3,3,3,3,3,3,3,3,3,3,3,3
"R_BGpFdMWabLAWWOJ","HH",75,1.7,37.48,"Prosocial",1281,1233,"HH","HL","LH","LL",75,75,50,35,75,75,25,20,"HH-LL","Random","","HH","HL","LH","LL","Similarity","",60,60,60,60,15,60,15,60,60,15,60,15,15,15,15,15,"Welfare","",128,128,128,98,90,81,81,80,98,98,98,43,70,61,43,43,43,33,33,33,"Inequality","","strongly disagree","agree somewhat","strongly disagree","disagree somewhat","agree somewhat","strongly disagree","neither agree
nor disagree","strongly agree","disagree somewhat","strongly agree","strongly agree","Female",24,"United Kingdom of Great Britain and Northern Ireland","Bachelor's degree in college (4-year)",1,1,1,80,80,80,80,60,80,60,80,80,60,80,60,60,60,60,60,50.1960784313725,56.8888888888889,43.5555555555556,52.9411764705882,47.6470588235294,50.625,50,50.2564102564103,70,30.7142857142857,53.8461538461538,46.9230769230769,50.5882352941176,57.3333333333333,44,50.7692307692308,1,4,1,2,4,1,3,5,2,5,5,1,4
"R_2ykdrynFXLdzR3K","HH",75,1.7,7.82,"Individualistic",1455,1075,"HH","HL","LH","LL",20,15,25,25,20,15,15,10,"HL-LH","Inequality","","LL","LH","HL","HH","Inequality","",35,30,30,30,20,30,20,30,30,15,30,20,20,20,20,25,"Inequality","",128,128,113,113,120,51,110,51,98,98,90,51,90,41,43,43,38,38,33,33,"Inequality","","disagree somewhat","agree somewhat","agree somewhat","disagree somewhat","disagree somewhat","strongly disagree","disagree somewhat","strongly agree","neither agree
nor disagree","strongly agree","strongly agree","Male",21,"United Kingdom of Great Britain and Northern Ireland","Some college but no degree",3,3,5,46.6666666666667,40,40,40,80,40,80,40,40,60,40,80,80,80,80,100,50.1960784313725,50.2222222222222,50.2222222222222,70.5882352941177,30,68.75,31.875,50.2564102564103,64.2857142857143,36.4285714285714,69.2307692307692,31.5384615384615,50.5882352941176,50.6666666666667,50.6666666666667,50.7692307692308,2,4,4,2,2,1,2,5,3,5,5,2,4
"R_vfsRkn3slEUmhxL","HH",75,1.7,33.43,"Prosocial",1296,1223,"HH","HL","LH","LL",50,50,50,40,50,40,10,10,"HH-LL","Welfare","","LH","HH","LL","HL","Similarity","",50,50,40,50,15,50,15,50,40,15,50,15,15,15,12,15,"Welfare","",128,128,126,100,61,110,120,41,98,98,80,61,100,31,43,43,40,36,33,33,"Welfare","","disagree somewhat","agree somewhat","agree somewhat","strongly agree","disagree somewhat","strongly agree","agree somewhat","agree somewhat","disagree somewhat","neither agree
nor disagree","disagree somewhat","Male",50,"United Kingdom of Great Britain and Northern Ireland","Bachelor's degree in college (4-year)",5,5,3,66.6666666666667,66.6666666666667,53.3333333333333,66.6666666666667,60,66.6666666666667,60,66.6666666666667,53.3333333333333,60,66.6666666666667,60,60,60,48,60,50.1960784313725,56,44.4444444444444,35.8823529411765,64.7058823529412,75,25.625,50.2564102564103,57.1428571428571,43.5714285714286,76.9230769230769,23.8461538461538,50.5882352941176,53.3333333333333,48,50.7692307692308,2,4,4,5,2,5,4,4,2,3,2,2,4
