participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,tt.1.player.id_in_group,tt.1.player.treatment,tt.1.player.context,tt.1.player.random_decision,tt.1.player.random_input,tt.1.player.choice,tt.1.player.order,tt.1.player.severity,tt.1.player.reputation,tt.1.player.choice_1,tt.1.player.choice_2,tt.1.player.choice_3,tt.1.player.choice_4,tt.1.player.choice_5,tt.1.player.belief_1,tt.1.player.belief_2,tt.1.player.belief_3,tt.1.player.belief_4,tt.1.player.belief_5,tt.1.player.payoff,tt.1.group.id_in_subsession,tt.1.subsession.round_number,wordscra.1.player.id_in_group,wordscra.1.player.word1_1,wordscra.1.player.word1_2,wordscra.1.player.word1_3,wordscra.1.player.word1_4,wordscra.1.player.word1_5,wordscra.1.player.word2_1,wordscra.1.player.word2_2,wordscra.1.player.word2_3,wordscra.1.player.word3_1,wordscra.1.player.word3_2,wordscra.1.player.word3_3,wordscra.1.player.word3_4,wordscra.1.player.word3_5,wordscra.1.player.word3_6,wordscra.1.player.word4_1,wordscra.1.player.word4_2,wordscra.1.player.word4_3,wordscra.1.player.word4_4,wordscra.1.player.word4_5,wordscra.1.player.word5_1,wordscra.1.player.word5_2,wordscra.1.player.word5_3,wordscra.1.player.word5_4,wordscra.1.player.word5_5,wordscra.1.player.word6_1,wordscra.1.player.word6_2,wordscra.1.player.word6_3,wordscra.1.player.word6_4,wordscra.1.player.payoff,wordscra.1.group.id_in_subsession,wordscra.1.subsession.round_number,postexp.1.player.id_in_group,postexp.1.player.finlit_1,postexp.1.player.finlit_2,postexp.1.player.finlit_3,postexp.1.player.finlit_4,postexp.1.player.finlit_5,postexp.1.player.risk_aversion1,postexp.1.player.risk_aversion2,postexp.1.player.pref1_1,postexp.1.player.pref1_2,postexp.1.player.pref1_3,postexp.1.player.pref1_4,postexp.1.player.pref2_1,postexp.1.player.pref2_2,postexp.1.player.pref2_3,postexp.1.player.crt4,postexp.1.player.crt5,postexp.1.player.crt6,postexp.1.player.crt7,postexp.1.player.age,postexp.1.player.female,postexp.1.player.income,postexp.1.player.education,postexp.1.player.jobfunction,postexp.1.player.jobfunctiongp,postexp.1.player.investment,postexp.1.player.whichinvestment,postexp.1.player.finnews,postexp.1.player.comments,postexp.1.player.matrikelnr,postexp.1.player.rate,postexp.1.player.random_code,postexp.1.player.payoff,postexp.1.group.id_in_subsession,postexp.1.subsession.round_number
1,fsfi4i8p,,0,1,12,tt,Instructions,2020-01-14 09:20:56.768816+00:00,1,,,0,0,b7rrvg7s,,,,,,0,1,0,1,su_ha_abs,neutral,3,choice_3,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
2,ino1yszw,{{%PROLIFIC_PID%}},0,1,12,tt,Instructions,2020-01-14 09:21:10.147391+00:00,1,,,0,0,b7rrvg7s,,,,,,0,1,0,2,su_ha_abs,financial,4,choice_4,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
3,kd3foh1m,56c89222dfea6c000bb23762,0,12,12,postexp,Results,2020-01-14 11:34:50.423513+00:00,1,,,5,5,b7rrvg7s,,,,,,0,1,0,3,su_ha_abs,abstract,1,choice_1,1,1,3,2,1,1,1,0,0,100,100,90,80,20,5,1,1,3,c,l,o,c,k,r,a,t,c,h,o,k,e,r,h,o,n,e,y,T,h,i,n,g,B,o,n,d,0,1,1,3,,,,,,5,,7,5,5,4,7,4,3,,,,,25,0,,4,3,,1,"Stocks, bonds",,,,4,2074P,0,1,1
4,hsepmi20,57a7a0e26475d400015abe19,0,12,12,postexp,Results,2020-01-14 15:01:41.323650+00:00,1,,,5,5,b7rrvg7s,,,,,,0,1,0,4,su_ha_abs,abstract,3,choice_3,1,0,2,1,1,1,1,0,0,85,80,70,60,50,5,1,1,4,c,l,o,c,k,m,a,t,c,h,o,k,e,r,m,o,n,e,y,T,h,a,n,o,B,a,n,d,0,1,1,4,,,,,,4,,5,2,1,1,7,4,5,,,,,26,1,,4,8,,1,,,,,3,5759W,0,1,1
5,4un1opea,5b2450807297750001c6cc57,0,12,12,postexp,Results,2020-01-14 15:07:56.570666+00:00,1,,,5,5,b7rrvg7s,,,,,,0,1,0,5,su_ha_abs,abstract,1,choice_1,1,1,3,2,1,1,0,0,0,20,40,60,80,0,5,1,1,5,s,h,o,c,k,c,a,t,b,r,o,k,e,r,m,o,n,e,y,T,h,i,n,g,B,a,n,d,0,1,1,5,,,,,,3,,5,2,4,6,7,1,3,,,,,43,0,,4,8,,0,,,,,4,8111r,0,1,1
6,7ymthscv,58ee956a575c01000180b080,0,12,12,postexp,Results,2020-01-14 16:13:14.714455+00:00,1,,,5,5,b7rrvg7s,,,,,,0,1,0,6,su_ha_abs,abstract,1,choice_1,1,0,3,4,1,1,1,0,0,99,95,90,75,50,5,1,1,6,c,l,o,c,k,b,a,t,c,h,o,k,e,r,h,o,n,e,y,T,h,i,n,g,B,o,n,d,0,1,1,6,,,,,,5,,6,1,1,7,7,1,6,,,,,38,1,,4,8,,0,,,,,5,4326I,0,1,1
7,r5krh2wj,59d6a8053e5ea00001e1cf49,0,12,12,postexp,Results,2020-01-14 20:02:29.055655+00:00,1,,,3,3,b7rrvg7s,,,,,,0,1,0,7,su_ha_neu,abstract,3,choice_3,0,0,7,2,0,0,0,0,0,30,45,55,60,100,3,1,1,7,s,h,o,c,k,h,a,t,c,h,o,k,e,r,m,o,n,e,y,T,h,i,n,g,B,e,n,d,0,1,1,7,,,,,,2,,5,1,1,7,7,2,6,,,,,39,1,,4,8,,1,stocks,,,,4,6679H,0,1,1
8,igkleyiv,5b35824a975e260001e9b7a6,0,12,12,postexp,Results,2020-01-14 22:10:43.885527+00:00,1,,,1,1,b7rrvg7s,,,,,,0,1,0,8,su_ha_neu,abstract,1,choice_1,0,1,2,3,0,0,0,0,0,95,95,95,95,95,1,1,1,8,C,L,o,c,k,B,a,t,C,O,o,k,e,r,M,o,n,e,y,T,h,A,n,K,B,E,n,d,0,1,1,8,,,,,,7,,7,6,5,7,7,7,3,,,,,35,0,,4,8,,1,,,,,4,1997K,0,1,1
9,nwjg6d42,57e04ffb8e00270001b43800,0,12,12,postexp,Results,2020-01-15 09:16:59.356906+00:00,1,,,2,2,b7rrvg7s,,,,,,0,1,0,9,su_ha_abs,abstract,2,choice_2,0,0,3,6,0,0,0,0,0,50,50,30,10,0,2,1,1,9,C,l,o,c,k,H,a,t,B,r,o,k,e,r,M,o,n,e,y,T,h,i,n,g,B,o,n,d,0,1,1,9,,,,,,2,,6,2,1,4,6,3,4,,,,,37,1,,4,8,,0,,,,,5,9587T,0,1,1
10,h7p4cf4l,59d3f4466cc82800013e31cc,0,12,12,postexp,Results,2020-01-15 12:36:05.047112+00:00,1,,,5,5,b7rrvg7s,,,,,,0,1,0,10,su_ha_neu,abstract,1,choice_1,1,1,3,3,1,1,1,0,0,90,75,60,50,0,5,1,1,10,B,L,o,c,k,C,a,t,C,O,o,k,e,r,M,o,n,e,y,T,h,A,n,I,B,O,n,d,0,1,1,10,,,,,,5,,6,3,6,5,7,5,5,,,,,27,1,,4,8,,0,,,,,4,4804k,0,1,1
