session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Student Status,Employment Status,Current Country of Residence,Nationality,First Language,Sex,Fluent languages,Industry
5e1495349e3dab000d79133a,5a286795b51f2c0001e5de77,AWAITING REVIEW,2020-01-07 14:27:00.185000,2020-01-07 14:32:12.802000,312.617,43,91,1,100,,693460E2,Spain,No,Full-Time,Spain,Spain,Spanish,Male,English,Finance and Insurance
5e1495570db892ab8827e34c,59fdef52747ede000142c959,AWAITING REVIEW,2020-01-07 14:27:35.581000,2020-01-07 14:31:56.346000,260.765,46,335,8,98,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Male,English,Finance and Insurance
5e1495786e8aaba900628a52,5ace0cc387e271000171cd21,AWAITING REVIEW,2020-01-07 14:28:08.937000,2020-01-07 14:32:35.689000,266.752,37,178,3,99,,693460E2,United Kingdom,Yes,Full-Time,United Kingdom,United Kingdom,English,Male,English,Finance and Insurance
5e149598b199e4aa15ce35b9,5bb278608f3bd70001e55d18,AWAITING REVIEW,2020-01-07 14:28:44.365000,2020-01-07 14:36:59.378000,495.013,25,229,2,100,,693460E2,United States,No,Full-Time,United States,United States,English,Female,English,Finance and Insurance
5e1495aef74ffb01714c5bd6,5ba8635f38803d000126ea43,AWAITING REVIEW,2020-01-07 14:29:10.313000,2020-01-07 14:39:20.833000,610.52,31,269,1,100,,693460E2,United States,No,Full-Time,United States,United States,English,Male,Spanish,Finance and Insurance
5e1495d95cc380ac2d542db2,596d1cdfe81bf30001fe0533,AWAITING REVIEW,2020-01-07 14:29:52.947000,2020-01-07 14:43:39.263000,826.316,39,657,2,100,,693460E2,United Kingdom,No,Part-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e1495f0082675a95e5f3318,597b92f0a33b0d0001fd3d90,AWAITING REVIEW,2020-01-07 14:30:12.480000,2020-01-07 14:34:38.513000,266.033,64,608,6,99,,693460E2,United Kingdom,No,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e149614e69d0aac7d90b0c8,5bc0c9fa614d5a00016f713d,AWAITING REVIEW,2020-01-07 14:30:44.462000,2020-01-07 14:36:20.620000,336.158,49,34,0,100,,693460E2,United Kingdom,No,Part-Time,United Kingdom,United Kingdom,English,Male,English,
5e14961d61b48aac47d37f60,59f48e50680a95000122ad22,AWAITING REVIEW,2020-01-07 14:30:53.230000,2020-01-07 14:47:47.166000,1013.936,29,103,1,100,,693460E2,United Kingdom,No,Part-Time,United Kingdom,United Kingdom,English,Female,German,Finance and Insurance
5e1496317f08edaaa17e2a49,5bbd1d04df2fb80001733d30,AWAITING REVIEW,2020-01-07 14:31:24.515000,2020-01-07 14:41:15.271000,590.756,32,169,0,100,,693460E2,United Kingdom,Yes,Full-Time,United Kingdom,United Kingdom,English,Female,English,Finance and Insurance
5e149643839079ab2ddebc11,5acc3bd8e1099600016ae27a,AWAITING REVIEW,2020-01-07 14:31:31.692000,2020-01-07 14:40:15.423000,523.731,28,196,0,100,,693460E2,Panama,Yes,Full-Time,United States,Panama,Spanish,Male,English,Finance and Insurance
