participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,tt.1.player.id_in_group,tt.1.player.treatment,tt.1.player.context,tt.1.player.random_decision,tt.1.player.random_input,tt.1.player.choice,tt.1.player.order,tt.1.player.severity,tt.1.player.reputation,tt.1.player.choice_1,tt.1.player.choice_2,tt.1.player.choice_3,tt.1.player.choice_4,tt.1.player.choice_5,tt.1.player.belief_1,tt.1.player.belief_2,tt.1.player.belief_3,tt.1.player.belief_4,tt.1.player.belief_5,tt.1.player.payoff,tt.1.group.id_in_subsession,tt.1.subsession.round_number,wordscra.1.player.id_in_group,wordscra.1.player.word1_1,wordscra.1.player.word1_2,wordscra.1.player.word1_3,wordscra.1.player.word1_4,wordscra.1.player.word1_5,wordscra.1.player.word2_1,wordscra.1.player.word2_2,wordscra.1.player.word2_3,wordscra.1.player.word3_1,wordscra.1.player.word3_2,wordscra.1.player.word3_3,wordscra.1.player.word3_4,wordscra.1.player.word3_5,wordscra.1.player.word3_6,wordscra.1.player.word4_1,wordscra.1.player.word4_2,wordscra.1.player.word4_3,wordscra.1.player.word4_4,wordscra.1.player.word4_5,wordscra.1.player.word5_1,wordscra.1.player.word5_2,wordscra.1.player.word5_3,wordscra.1.player.word5_4,wordscra.1.player.word5_5,wordscra.1.player.word6_1,wordscra.1.player.word6_2,wordscra.1.player.word6_3,wordscra.1.player.word6_4,wordscra.1.player.payoff,wordscra.1.group.id_in_subsession,wordscra.1.subsession.round_number,postexp.1.player.id_in_group,postexp.1.player.finlit_1,postexp.1.player.finlit_2,postexp.1.player.finlit_3,postexp.1.player.finlit_4,postexp.1.player.finlit_5,postexp.1.player.risk_aversion1,postexp.1.player.risk_aversion2,postexp.1.player.pref1_1,postexp.1.player.pref1_2,postexp.1.player.pref1_3,postexp.1.player.pref1_4,postexp.1.player.pref2_1,postexp.1.player.pref2_2,postexp.1.player.pref2_3,postexp.1.player.crt4,postexp.1.player.crt5,postexp.1.player.crt6,postexp.1.player.crt7,postexp.1.player.age,postexp.1.player.female,postexp.1.player.income,postexp.1.player.education,postexp.1.player.jobfunction,postexp.1.player.jobfunctiongp,postexp.1.player.investment,postexp.1.player.whichinvestment,postexp.1.player.finnews,postexp.1.player.comments,postexp.1.player.matrikelnr,postexp.1.player.rate,postexp.1.player.random_code,postexp.1.player.payoff,postexp.1.group.id_in_subsession,postexp.1.subsession.round_number
1,2o6duzqn,,0,1,12,tt,Instructions,2020-01-14 13:55:31.220166+00:00,1,,,0,0,9d565pyp,,,,,,0,1,0,1,su_ha_abs,neutral,3,choice_3,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
2,2ngrutrx,,0,1,12,tt,Instructions,2020-01-14 13:56:24.180180+00:00,1,,,0,0,9d565pyp,,,,,,0,1,0,2,su_ha_abs,financial,1,choice_1,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
3,bmm9qbd2,,0,12,12,postexp,Results,2020-01-14 13:58:50.985172+00:00,1,,,5,5,9d565pyp,,,,,,0,1,0,3,su_ha_abs,abstract,3,choice_3,1,0,6,2,1,1,1,1,0,1,1,1,12,85,5,1,1,3,c,l,o,c,k,c,a,t,c,o,o,k,e,r,h,o,n,e,y,T,h,a,n,k,B,i,n,d,0,1,1,3,,,,,,5,,5,2,4,5,4,2,1,,,,,22,0,,3,,,0,,0,,11829210,3,2967v,0,1,1
4,06zz9xxu,,0,12,12,postexp,Results,2020-01-14 14:04:40.364479+00:00,1,,,5,5,9d565pyp,,,,,,0,1,0,4,su_ha_abs,abstract,2,choice_2,1,1,1,1,1,1,1,1,1,95,85,80,70,50,5,1,1,4,c,l,o,c,k,h,a,t,f,a,o,k,e,r,h,o,n,e,y,T,h,a,n,-,B,a,n,d,0,1,1,4,,,,,,6,,5,3,3,6,6,1,5,,,,,24,0,,4,,,1,,1,,108833505,3,5260m,0,1,1
5,frlre7gp,,0,12,12,postexp,Results,2020-01-14 14:09:21.689433+00:00,1,,,5,5,9d565pyp,,,,,,0,1,0,5,su_ha_abs,abstract,4,choice_4,1,1,5,2,1,1,1,1,1,65,66,76,89,98,5,1,1,5,c,l,o,c,k,h,a,t,c,o,o,k,e,r,h,o,n,e,y,T,h,i,n,g,B,i,n,d,0,1,1,5,,,,,,4,,3,5,4,6,7,5,2,,,,,23,0,,3,,,0,,1,,1603491,4,3499A,0,1,1
6,p7fd4oeh,,0,12,12,postexp,Results,2020-01-14 14:16:26.563667+00:00,1,,,4,4,9d565pyp,,,,,,0,1,0,6,su_ha_abs,abstract,4,choice_4,0,0,5,3,1,1,1,0,0,96,80,67,53,50,4,1,1,6,c,l,o,c,k,c,a,t,b,r,o,k,e,r,m,o,n,e,y,T,h,i,n,g,B,o,n,d,0,1,1,6,,,,,,5,,4,7,5,4,7,7,4,,,,,25,0,,4,,,0,,1,,1430373,4,1177Q,0,1,1
7,lwgwns8r,,0,12,12,postexp,Results,2020-01-14 14:22:24.848573+00:00,1,,,5,5,9d565pyp,,,,,,0,1,0,7,su_ha_abs,abstract,3,choice_3,1,0,4,4,1,1,1,1,1,50,50,50,50,50,5,1,1,7,N,E,o,c,k,e,a,t,C,O,o,k,e,r,K,o,n,e,y,T,h,O,n,E,B,F,n,d,0,1,1,7,,,,,,5,,6,4,5,3,6,4,3,,,,,2222,1,,3,,,1,,1,,11777855,5,2105G,0,1,1
8,i52ry4js,,0,12,12,postexp,Results,2020-01-14 14:48:50.761245+00:00,1,,,5,5,9d565pyp,,,,,,0,1,0,8,su_ha_abs,abstract,3,choice_3,1,0,2,4,1,1,1,0,0,90,70,60,90,100,5,1,1,8,C,l,o,c,k,H,a,t,B,r,o,k,e,r,M,o,n,e,y,T,h,i,n,g,B,a,n,d,0,1,1,8,,,,,,4,,6,3,3,6,6,3,1,,,,,26,0,,4,,,1,Funds,3,,123456,3,1886K,0,1,1
9,psrxv2w2,,0,12,12,postexp,Results,2020-01-14 14:57:13.561714+00:00,1,,,3,3,9d565pyp,,,,,,0,1,0,9,su_ha_abs,abstract,3,choice_3,0,1,5,2,1,1,0,0,0,98,85,50,20,3,3,1,1,9,c,l,o,c,k,h,a,t,h,o,o,k,e,r,m,o,n,e,y,T,h,i,n,k,B,a,n,d,0,1,1,9,,,,,,2,,3,4,3,6,7,2,4,,,,,21,1,,3,,,0,,1,,51854587,5,5211a,0,1,1
10,os2ct0yz,,0,1,12,tt,Instructions,2020-01-14 15:12:29.587496+00:00,1,,,0,0,9d565pyp,,,,,,0,1,0,10,su_ha_abs,abstract,4,choice_4,,,,,,,,,,,,,,,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
