session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,epoch_time,seconds_on_page,subsession_pk,auto_submitted
1,2,7kupem8g,1,tt,Instructions,1579010557,76,1,False
1,2,7kupem8g,2,tt,Task,1579010587,30,1,False
1,2,7kupem8g,3,tt,BeliefInstructions,1579010607,20,1,False
1,2,7kupem8g,4,tt,Beliefs,1579010648,41,1,False
1,2,7kupem8g,5,tt,Questions,1579010661,13,1,False
1,2,7kupem8g,6,wordscra,Task,1579010772,111,1,False
1,2,7kupem8g,7,postexp,Risk,1579010786,14,1,False
1,2,7kupem8g,8,postexp,Pref1,1579010826,40,1,False
1,2,7kupem8g,9,postexp,Pref2,1579010847,21,1,False
1,2,7kupem8g,10,postexp,Demographics,1579010888,41,1,False
1,2,7kupem8g,11,postexp,ResultsTask,1579010899,11,1,False
1,3,0jcu6j9b,1,tt,Instructions,1579010648,71,1,False
1,3,0jcu6j9b,2,tt,Task,1579010684,36,1,False
1,3,0jcu6j9b,3,tt,BeliefInstructions,1579010696,12,1,False
1,3,0jcu6j9b,4,tt,Beliefs,1579010728,32,1,False
1,3,0jcu6j9b,5,tt,Questions,1579010754,26,1,False
1,3,0jcu6j9b,6,wordscra,Task,1579010891,137,1,False
1,3,0jcu6j9b,7,postexp,Risk,1579010900,9,1,False
1,3,0jcu6j9b,8,postexp,Pref1,1579010940,40,1,False
1,3,0jcu6j9b,9,postexp,Pref2,1579010964,24,1,False
1,3,0jcu6j9b,10,postexp,Demographics,1579011027,63,1,False
1,3,0jcu6j9b,11,postexp,ResultsTask,1579011034,7,1,False
1,5,yo053rgn,1,tt,Instructions,1579010896,26,1,False
1,5,yo053rgn,2,tt,Task,1579012308,1412,1,False
1,5,yo053rgn,3,tt,BeliefInstructions,1579012327,19,1,False
1,5,yo053rgn,4,tt,Beliefs,1579012566,239,1,False
1,5,yo053rgn,5,tt,Questions,1579012593,27,1,False
1,5,yo053rgn,6,wordscra,Task,1579012952,359,1,False
1,5,yo053rgn,7,postexp,Risk,1579012976,24,1,False
1,5,yo053rgn,8,postexp,Pref1,1579013038,62,1,False
1,5,yo053rgn,9,postexp,Pref2,1579013086,48,1,False
1,5,yo053rgn,10,postexp,Demographics,1579013186,100,1,False
1,5,yo053rgn,11,postexp,ResultsTask,1579013208,22,1,False
1,6,kvqoe5iw,1,tt,Instructions,1579011059,186,1,False
1,6,kvqoe5iw,2,tt,Task,1579011115,56,1,False
1,6,kvqoe5iw,3,tt,BeliefInstructions,1579011190,75,1,False
1,6,kvqoe5iw,4,tt,Beliefs,1579011331,141,1,False
1,6,kvqoe5iw,5,tt,Questions,1579011373,42,1,False
1,6,kvqoe5iw,6,wordscra,Task,1579011509,136,1,False
1,6,kvqoe5iw,7,postexp,Risk,1579011523,14,1,False
1,6,kvqoe5iw,8,postexp,Pref1,1579011605,82,1,False
1,6,kvqoe5iw,9,postexp,Pref2,1579011686,81,1,False
1,6,kvqoe5iw,10,postexp,Demographics,1579012210,524,1,False
1,6,kvqoe5iw,11,postexp,ResultsTask,1579012228,18,1,False
1,7,2ohmguik,1,tt,Instructions,1579011920,48,1,False
1,7,2ohmguik,2,tt,Task,1579011959,39,1,False
1,7,2ohmguik,3,tt,BeliefInstructions,1579011973,14,1,False
1,7,2ohmguik,4,tt,Beliefs,1579012021,48,1,False
1,7,2ohmguik,5,tt,Questions,1579012037,16,1,False
1,7,2ohmguik,6,wordscra,Task,1579012101,64,1,False
1,7,2ohmguik,7,postexp,Risk,1579012110,9,1,False
1,7,2ohmguik,8,postexp,Pref1,1579012139,29,1,False
1,7,2ohmguik,9,postexp,Pref2,1579012152,13,1,False
1,7,2ohmguik,10,postexp,Demographics,1579012185,33,1,False
1,7,2ohmguik,11,postexp,ResultsTask,1579012199,14,1,False
1,8,01ulfz5u,1,tt,Instructions,1579012022,83,1,False
1,8,01ulfz5u,2,tt,Task,1579012057,35,1,False
1,8,01ulfz5u,3,tt,BeliefInstructions,1579012083,26,1,False
1,8,01ulfz5u,4,tt,Beliefs,1579012125,42,1,False
1,8,01ulfz5u,5,tt,Questions,1579012179,54,1,False
1,8,01ulfz5u,6,wordscra,Task,1579012346,167,1,False
1,8,01ulfz5u,7,postexp,Risk,1579012357,11,1,False
1,8,01ulfz5u,8,postexp,Pref1,1579012411,54,1,False
1,8,01ulfz5u,9,postexp,Pref2,1579012435,24,1,False
1,8,01ulfz5u,10,postexp,Demographics,1579012480,45,1,False
1,8,01ulfz5u,11,postexp,ResultsTask,1579012493,13,1,False
1,9,qju6691b,1,tt,Instructions,1579013550,313,1,False
1,9,qju6691b,2,tt,Task,1579013626,76,1,False
1,9,qju6691b,3,tt,BeliefInstructions,1579013640,14,1,False
1,9,qju6691b,4,tt,Beliefs,1579013687,47,1,False
1,9,qju6691b,5,tt,Questions,1579013709,22,1,False
1,9,qju6691b,6,wordscra,Task,1579013760,51,1,False
1,9,qju6691b,7,postexp,Risk,1579013771,11,1,False
1,9,qju6691b,8,postexp,Pref1,1579013813,42,1,False
1,9,qju6691b,9,postexp,Pref2,1579013838,25,1,False
1,9,qju6691b,10,postexp,Demographics,1579013884,46,1,False
1,9,qju6691b,11,postexp,ResultsTask,1579013903,19,1,False
1,10,pxfkr3wj,1,tt,Instructions,1579013341,90,1,False
1,10,pxfkr3wj,2,tt,Task,1579013366,25,1,False
1,10,pxfkr3wj,3,tt,BeliefInstructions,1579013388,22,1,False
1,10,pxfkr3wj,4,tt,Beliefs,1579013479,91,1,False
1,10,pxfkr3wj,5,tt,Questions,1579013497,18,1,False
1,10,pxfkr3wj,6,wordscra,Task,1579013556,59,1,False
1,10,pxfkr3wj,7,postexp,Risk,1579013564,8,1,False
