Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,0,1.438(s),Adpative_Trial(3-1),3 & 2,1,0,1,$0.1
2,0,0.803(s),Adpative_Trial(3-1),4 & 3,1,0,1,$0.2
3,0,0.836(s),Adpative_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$-0.05
4,0,0.706(s),Control_Test_Trial(3-1),3 & 2,1,0,1,$0.05
5,0,0.738(s),Adpative_Test_Trial(9-2),9 & 10,1,0,1,$0.15
6,0,0.752(s),Control_Same_Color_Trial(9-2),7 & 7,0,0,0.5,$-0.1
7,0,0.636(s),Control_Trial(9-2),8 & 7,1,0,1,$2.7755575615629E-17
8,0,0.907(s),Control_Trial(9-2),11 & 10,1,0,1,$0.1
9,0,0.648(s),Control_Test_Trial(9-2),9 & 10,1,0,1,$0.2
10,0,0.825(s),Adpative_Test_Trial(3-1),3 & 2,1,0,1,$0.3
11,1,0.636(s),Adpative_Trial(4-1),3 & 4,1,0,1,$0.4
12,1,0.499(s),Adpative_Trial(4-1),3 & 4,1,0,1,$0.5
13,1,1.611(s),Adpative_Same_Color_Trial(4-1),3 & 3,1,0,1,$0.6
14,1,0.498(s),Control_Test_Trial(4-1),4 & 3,1,0,1,$0.7
15,1,0.593(s),Adpative_Test_Trial(9-2),10 & 11,1,0,1,$0.8
16,1,0.876(s),Control_Same_Color_Trial(9-2),8 & 8,0,0,0.5,$0.55
17,1,0.801(s),Control_Trial(9-2),7 & 8,1,0,1,$0.65
18,1,0.715(s),Control_Trial(9-2),9 & 10,1,0,1,$0.75
19,1,0.721(s),Control_Test_Trial(9-2),10 & 11,1,0,1,$0.85
20,1,1.086(s),Adpative_Test_Trial(4-1),4 & 3,-1,0,0,$0.6
21,2,0.656(s),Adpative_Trial(5-1),4 & 5,1,0,1,$0.7
22,2,0.658(s),Adpative_Trial(5-1),4 & 5,1,0,1,$0.8
23,2,0.691(s),Adpative_Trial(5-1),6 & 5,1,0,1,$0.9
24,2,0.593(s),Control_Test_Trial(5-1),5 & 4,1,0,1,$1
25,2,0.71(s),Adpative_Test_Trial(10-2),12 & 11,0,0,0,$0.75
26,2,0.89(s),Control_Trial(10-2),11 & 10,1,0,1,$0.85
27,2,0.603(s),Control_Trial(10-2),11 & 10,1,0,1,$0.95
28,2,0.952(s),Control_Trial(10-2),10 & 9,1,0,1,$1.05
29,2,0.797(s),Control_Test_Trial(10-2),12 & 11,0,0,0,$0.8
30,2,0.939(s),Adpative_Test_Trial(5-1),5 & 4,1,0,1,$0.9
31,3,0.85(s),Adpative_Trial(6-1),7 & 6,1,0,1,$1
32,3,0.888(s),Adpative_Trial(6-1),6 & 7,1,0,1,$1.1
33,3,0.65(s),Adpative_Trial(6-1),6 & 5,1,0,1,$1.2
34,3,0.65(s),Control_Test_Trial(6-1),6 & 6,0,0,0.5,$0.95
35,3,0.913(s),Adpative_Test_Trial(3-2),2 & 1,1,0,1,$1.05
36,3,0.969(s),Control_Trial(3-2),2 & 1,1,0,1,$1.15
37,3,0.754(s),Control_Trial(3-2),3 & 4,1,0,1,$1.25
38,3,0.625(s),Control_Trial(3-2),5 & 4,1,0,1,$1.35
39,3,1.027(s),Control_Test_Trial(3-2),2 & 1,1,0,1,$1.45
40,3,0.746(s),Adpative_Test_Trial(6-1),6 & 6,0,0,0.5,$1.2
41,4,0.801(s),Adpative_Trial(7-1),7 & 6,1,0,1,$1.3
42,4,0.739(s),Adpative_Trial(7-1),7 & 8,1,0,1,$1.4
43,4,0.677(s),Adpative_Trial(7-1),7 & 6,1,0,1,$1.5
44,4,0.655(s),Control_Test_Trial(7-1),7 & 6,1,0,1,$1.6
45,4,1.73(s),Adpative_Test_Trial(3-1),2 & 2,1,0,1,$1.7
46,4,0.648(s),Control_Trial(3-1),3 & 4,1,0,1,$1.8
47,4,0.658(s),Control_Trial(3-1),4 & 3,1,0,1,$1.9
48,4,0.627(s),Control_Trial(3-1),3 & 4,1,0,1,$2
49,4,0.749(s),Control_Test_Trial(3-1),2 & 2,0,0,0.5,$1.75
50,4,1.134(s),Adpative_Test_Trial(7-1),7 & 6,1,0,1,$1.85
51,5,1.018(s),Adpative_Trial(8-1),8 & 7,1,0,1,$1.95
52,5,0.733(s),Adpative_Trial(8-1),8 & 9,1,0,1,$2.05
