Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,0,0.989(s),Adpative_Trial(3-2),2 & 3,1,0,1,$0.1
2,0,1.678(s),Control_Test_Trial(3-2),4 & 4,1,0,1,$0.2
3,0,1.201(s),Adpative_Test_Trial(9-2),11 & 11,0,0,0.5,$-0.05
4,0,1.145(s),Control_Trial(9-2),10 & 11,1,0,1,$0.05
5,0,1.398(s),Control_Test_Trial(9-2),11 & 11,0,0,0.5,$-0.2
6,0,1.763(s),Adpative_Test_Trial(3-2),4 & 4,1,0,1,$-0.1
7,1,0.923(s),Adpative_Trial(4-1),3 & 4,1,0,1,$2.7755575615629E-17
8,1,1.37(s),Control_Test_Trial(4-1),5 & 4,1,0,1,$0.1
9,1,1.378(s),Adpative_Test_Trial(9-2),10 & 10,1,0,1,$0.2
10,1,1.074(s),Control_Trial(9-2),11 & 10,1,0,1,$0.3
11,1,1.058(s),Control_Test_Trial(9-2),10 & 10,0,0,0.5,$0.05
12,1,1.131(s),Adpative_Test_Trial(4-1),5 & 4,1,0,1,$0.15
13,2,0.967(s),Adpative_Trial(5-1),5 & 4,1,0,1,$0.25
14,2,0.858(s),Control_Test_Trial(5-1),5 & 6,1,0,1,$0.35
15,2,1.078(s),Adpative_Test_Trial(10-2),11 & 12,1,0,1,$0.45
16,2,1.379(s),Control_Trial(10-2),11 & 10,1,0,1,$0.55
17,2,1.128(s),Control_Test_Trial(10-2),11 & 12,1,0,1,$0.65
18,2,0.923(s),Adpative_Test_Trial(5-1),5 & 6,1,0,1,$0.75
19,3,1.847(s),Adpative_Same_Color_Trial(6-1),6 & 6,1,0,1,$0.85
20,3,0.854(s),Control_Test_Trial(6-1),7 & 6,1,0,1,$0.95
21,3,0.975(s),Adpative_Test_Trial(3-2),1 & 2,1,0,1,$1.05
22,3,0.856(s),Control_Trial(3-2),2 & 1,1,0,1,$1.15
23,3,0.671(s),Control_Test_Trial(3-2),1 & 2,1,0,1,$1.25
24,3,0.944(s),Adpative_Test_Trial(6-1),7 & 6,1,0,1,$1.35
25,4,0.776(s),Adpative_Trial(7-1),7 & 8,1,0,1,$1.45
26,4,0.898(s),Control_Test_Trial(7-1),7 & 6,1,0,1,$1.55
27,4,0.896(s),Adpative_Test_Trial(3-2),1 & 2,1,0,1,$1.65
