Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,7,0.992(s),Adpative_Trial(3-1),3 & 2,1,0,1,$0.1
2,7,0.923(s),Adpative_Trial(3-1),4 & 3,1,0,1,$0.2
3,7,0.794(s),Adpative_Trial(3-1),4 & 3,1,0,1,$0.3
4,7,0.948(s),Adpative_Trial(3-1),3 & 2,1,0,1,$0.4
5,7,1.191(s),Adpative_Same_Color_Trial(3-1),2 & 2,1,0,1,$0.5
6,7,0.786(s),Adpative_Trial(3-1),3 & 2,1,0,1,$0.6
7,7,0.809(s),Adpative_Trial(3-1),3 & 2,1,0,1,$0.7
8,7,0.665(s),Adpative_Trial(3-1),2 & 3,1,0,1,$0.8
9,7,0.729(s),Adpative_Trial(3-1),3 & 2,1,0,1,$0.9
10,7,1.147(s),Adpative_Trial(3-1),3 & 2,1,0,1,$1
11,7,0.891(s),Adpative_Trial(3-1),3 & 2,1,0,1,$1.1
12,7,0.875(s),Adpative_Trial(3-1),3 & 4,1,0,1,$1.2
13,7,0.913(s),Adpative_Trial(3-1),3 & 2,1,0,1,$1.3
14,7,1.327(s),Adpative_Trial(3-1),4 & 3,1,0,1,$1.4
15,7,0.62(s),Adpative_Trial(3-1),3 & 4,1,0,1,$1.5
16,7,0.762(s),Adpative_Trial(3-1),3 & 4,1,0,1,$1.6
17,7,0.827(s),Adpative_Trial(3-1),2 & 3,1,0,1,$1.7
18,7,0.778(s),Adpative_Trial(3-1),3 & 4,1,0,1,$1.8
19,7,0.835(s),Adpative_Trial(3-1),3 & 2,1,0,1,$1.9
20,7,0.673(s),Adpative_Trial(3-1),2 & 3,1,0,1,$2
21,7,0.691(s),Adpative_Trial(3-1),3 & 2,1,0,1,$2.1
22,7,0.762(s),Adpative_Trial(3-1),3 & 4,1,0,1,$2.2
23,7,0.747(s),Adpative_Trial(3-1),3 & 4,1,0,1,$2.3
24,7,0.852(s),Adpative_Trial(3-1),4 & 3,1,0,1,$2.4
25,7,1.087(s),Adpative_Trial(3-1),3 & 2,1,0,1,$2.5
26,7,0.609(s),Adpative_Trial(3-1),3 & 4,1,0,1,$2.6
27,7,1.26(s),Adpative_Same_Color_Trial(3-1),2 & 2,1,0,1,$2.7
28,7,0.603(s),Adpative_Trial(3-1),3 & 4,1,0,1,$2.8
29,7,0.835(s),Adpative_Trial(3-1),3 & 4,1,0,1,$2.9
30,7,2.921(s),Adpative_Same_Color_Trial(3-1),3 & 3,1,0,1,$3
31,7,0.834(s),Adpative_Trial(3-1),4 & 3,1,0,1,$3.1
32,7,0.797(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.2
33,7,1.234(s),Adpative_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$2.95
34,7,0.785(s),Adpative_Trial(3-1),4 & 3,1,0,1,$3.05
35,7,0.561(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.15
36,7,0.841(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.25
37,7,0.739(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.35
38,7,0.866(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.45
39,7,0.565(s),Adpative_Trial(3-1),3 & 4,1,0,1,$3.55
40,7,0.739(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.65
41,7,0.754(s),Adpative_Trial(3-1),4 & 3,1,0,1,$3.75
42,7,0.876(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.85
43,7,0.736(s),Adpative_Trial(3-1),3 & 2,1,0,1,$3.95
44,7,0.891(s),Adpative_Trial(3-1),4 & 3,1,0,1,$4.05
45,7,0.635(s),Adpative_Same_Color_Trial(3-1),4 & 4,0,0,0.5,$3.8
46,7,0.897(s),Control_Test_Trial(3-1),4 & 3,1,0,1,$3.9
47,7,1.291(s),Adpative_Test_Trial(10-2),10 & 10,1,0,1,$4
48,4,1.496(s),Control_Trial(3-2),2 & 1,1,0,1,$4.1
49,4,0.855(s),Control_Trial(3-2),5 & 4,1,0,1,$4.2
50,4,0.936(s),Control_Trial(3-2),5 & 4,1,0,1,$4.3
51,4,1.004(s),Control_Trial(3-2),2 & 3,1,0,1,$4.4
52,4,0.713(s),Control_Trial(3-2),3 & 4,1,0,1,$4.5
53,4,1.1(s),Control_Trial(3-2),4 & 3,1,0,1,$4.6
54,4,0.828(s),Control_Trial(3-2),2 & 3,1,0,1,$4.7
55,4,1.907(s),Control_Trial(3-2),2 & 1,1,0,1,$4.8
56,4,1.108(s),Control_Same_Color_Trial(3-2),1 & 1,1,0,1,$4.9
57,4,0.961(s),Control_Trial(3-2),3 & 4,1,0,1,$5
58,4,0.719(s),Control_Trial(3-2),2 & 1,1,0,1,$5.1
59,4,0.594(s),Control_Trial(3-2),1 & 2,1,0,1,$5.2
60,4,0.69(s),Control_Trial(3-2),2 & 1,1,0,1,$5.3
61,4,0.545(s),Control_Trial(3-2),1 & 2,1,0,1,$5.4
62,4,0.971(s),Control_Trial(3-2),5 & 4,1,0,1,$5.5
63,4,0.843(s),Control_Trial(3-2),2 & 1,1,0,1,$5.6
64,4,1.307(s),Control_Same_Color_Trial(3-2),4 & 4,1,0,1,$5.7
65,4,0.949(s),Control_Trial(3-2),1 & 2,1,0,1,$5.8
66,4,2.059(s),Control_Same_Color_Trial(3-2),2 & 2,1,0,1,$5.9
