Trial#,Sequence#,Response Time,Trial Type(mean-std),Shade,Resp,Missed,Reply,Accumulated Amount
1,0,1.297(s),Adpative_Trial(3-1),3 & 4,1,0,1,$0.1
2,0,1.218(s),Adpative_Trial(3-1),4 & 3,1,0,1,$0.2
3,0,1.417(s),Adpative_Same_Color_Trial(3-1),4 & 4,0,0,0.5,$-0.05
4,0,0.746(s),Adpative_Trial(3-1),2 & 3,1,0,1,$0.05
5,0,0.705(s),Adpative_Trial(3-1),3 & 4,1,0,1,$0.15
6,0,1.115(s),Adpative_Trial(3-1),3 & 2,1,0,1,$0.25
7,0,1.057(s),Adpative_Trial(3-1),3 & 4,1,0,1,$0.35
8,0,0.986(s),Adpative_Trial(3-1),3 & 2,1,0,1,$0.45
9,0,0.704(s),Adpative_Trial(3-1),3 & 2,1,0,1,$0.55
10,0,1.105(s),Adpative_Trial(3-1),3 & 4,1,0,1,$0.65
11,0,0.524(s),Adpative_Trial(3-1),3 & 4,1,0,1,$0.75
12,0,0.908(s),Adpative_Trial(3-1),3 & 2,1,0,1,$0.85
13,0,0.903(s),Adpative_Trial(3-1),4 & 3,1,0,1,$0.95
14,0,1.009(s),Adpative_Trial(3-1),2 & 3,1,0,1,$1.05
15,0,0.671(s),Adpative_Trial(3-1),2 & 3,1,0,1,$1.15
16,0,0.884(s),Adpative_Trial(3-1),3 & 2,1,0,1,$1.25
17,0,0.891(s),Adpative_Trial(3-1),3 & 4,1,0,1,$1.35
18,0,0.677(s),Adpative_Trial(3-1),3 & 4,1,0,1,$1.45
19,0,0.827(s),Adpative_Trial(3-1),4 & 3,1,0,1,$1.55
20,0,0.609(s),Adpative_Trial(3-1),4 & 3,1,0,1,$1.65
21,0,0.828(s),Adpative_Trial(3-1),3 & 2,1,0,1,$1.75
22,0,0.913(s),Adpative_Trial(3-1),2 & 3,1,0,1,$1.85
23,0,1.028(s),Adpative_Trial(3-1),3 & 2,1,0,1,$1.95
24,0,0.954(s),Adpative_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$1.7
25,0,1.04(s),Adpative_Same_Color_Trial(3-1),3 & 3,1,0,1,$1.8
26,0,0.884(s),Adpative_Trial(3-1),2 & 3,1,0,1,$1.9
27,0,0.735(s),Adpative_Trial(3-1),3 & 2,1,0,1,$2
28,0,0.878(s),Adpative_Trial(3-1),3 & 4,1,0,1,$2.1
29,0,0.822(s),Adpative_Trial(3-1),4 & 3,1,0,1,$2.2
30,0,0.609(s),Adpative_Trial(3-1),3 & 2,1,0,1,$2.3
31,0,0.887(s),Adpative_Trial(3-1),2 & 3,1,0,1,$2.4
32,0,0.596(s),Adpative_Same_Color_Trial(3-1),3 & 3,0,0,0.5,$2.15
33,0,0.708(s),Adpative_Trial(3-1),3 & 2,1,0,1,$2.25
34,0,0.779(s),Adpative_Trial(3-1),2 & 3,1,0,1,$2.35
35,0,0.818(s),Adpative_Trial(3-1),2 & 3,1,0,1,$2.45
36,0,0.673(s),Adpative_Trial(3-1),3 & 2,1,0,1,$2.55
37,0,0.507(s),Adpative_Trial(3-1),3 & 2,1,0,1,$2.65
