round_number,block_number,sequence_number,block_type,winning_probability,aaron_mood,probability_aaron_show,reward_value,reaction_time,choice,status_of_play,outcome,accumulated_outcomes,age,gender,major,MCQ_Q1,MCQ_Q2,MCQ_Q3,MCQ_Q4,MCQ_Q5,MCQ_Q6,chance_guess,pre_game_strategy,wager,post_game_quiz_q1,post_game_quiz_q2,post_game_quiz_q3,post_game_quiz_q3_other,post_game_quiz_correct,odds_guess_one_reply,odds_guess_one_did_win,odds_guess_two_reply,odds_guess_two_did_win,odds_guess_three_reply,odds_guess_three_did_win,id,treatment,craver
1,1,1,S,0.8,1,1,2,1564,1,1,1.3,1.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,1,1,S,0.8,1,1,2,611,1,1,1.3,2.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,1,1,S,0.8,1,1,2,555,1,1,1.3,3.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,1,1,S,0.8,1,1,2,787,1,1,-0.7,3.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,1,1,S,0.8,1,1,2,1178,1,1,-0.7,2.5,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,2,1,C,0.2,1,1,1,870,1,1,0.3,2.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,2,1,C,0.2,1,1,1,758,0,0,0,2.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,2,1,C,0.2,1,1,1,580,0,0,0,2.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,2,1,C,0.2,1,1,1,484,0,0,0,2.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,2,1,C,0.2,1,1,1,460,0,0,0,2.8,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,3,1,S,0.8,0,0.5,2,1419,1,1,1.3,4.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,3,1,S,0.8,0,0.5,2,609,1,0,0,4.1,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,3,1,S,0.8,0,0.5,2,483,1,1,-0.7,3.4,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,3,1,S,0.8,0,0.5,2,443,1,1,-0.7,2.7,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,3,1,S,0.8,0,0.5,2,761,1,1,1.3,4,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,4,1,C,0.2,0,0.5,1,507,1,0,0,4,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,4,1,C,0.2,0,0.5,1,419,1,0,0,4,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,4,1,C,0.2,0,0.5,1,380,1,1,-0.7,3.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,4,1,C,0.2,0,0.5,1,652,0,0,0,3.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,4,1,C,0.2,0,0.5,1,452,0,0,0,3.3,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,5,1,C,0.2,1,1,2,1007,1,1,-0.7,2.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,5,1,C,0.2,1,1,2,659,0,0,0,2.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,5,1,C,0.2,1,1,2,395,0,0,0,2.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,5,1,C,0.2,1,1,2,355,0,0,0,2.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,5,1,C,0.2,1,1,2,411,0,0,0,2.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,6,1,C,0.2,0,0.5,2,872,1,0,0,2.6,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
2,6,1,C,0.2,0,0.5,2,404,1,1,-0.7,1.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
3,6,1,C,0.2,0,0.5,2,714,0,0,0,1.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
4,6,1,C,0.2,0,0.5,2,404,0,0,0,1.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
5,6,1,C,0.2,0,0.5,2,403,0,0,0,1.9,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
1,7,1,S,0.8,1,1,1,1434,1,1,0.3,2.2,18,1,2,1,1,1,1,1,1,1,1,0,2,1,12,,1,2,0,4,1,2,0,1,control,1
