"round_number","block_number","sequence_number","block_type","winning_probability","aaron_mood","probability_aaron_show","reward_value","reaction_time","choice","status_of_play","outcome","accumulated_outcomes","age","gender","major","MCQ_Q1","MCQ_Q2","MCQ_Q3","MCQ_Q4","MCQ_Q5","MCQ_Q6","chance_guess","pre_game_strategy","wager","post_game_quiz_q1","post_game_quiz_q2","post_game_quiz_q3","post_game_quiz_q3_other","post_game_quiz_correct","odds_guess_one_reply","odds_guess_one_did_win","odds_guess_two_reply","odds_guess_two_did_win","odds_guess_three_reply","odds_guess_three_did_win","id","treatment","craver","previous_choice","previous_trial_outcome","exposure_time","craver_2","blue_interspersed"
1,1,1,"C",0.2,"Low",1,"Low",870,1,1,0.3,2.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,3,1,2
2,1,1,"C",0.2,"Low",1,"Low",758,0,0,0,2.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,4,1,2
3,1,1,"C",0.2,"Low",1,"Low",580,0,0,0,2.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,4,1,2
4,1,1,"C",0.2,"Low",1,"Low",484,0,0,0,2.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,4,1,2
5,1,1,"C",0.2,"Low",1,"Low",460,0,0,0,2.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,4,1,2
1,2,1,"S",0.8,"High",0.5,"High",1419,1,1,1.3,4.1,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,4,1,2
2,2,1,"S",0.8,"High",0.5,"High",609,1,0,0,4.1,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,5,1,2
3,2,1,"S",0.8,"High",0.5,"High",483,1,1,-0.7,3.4,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,5,1,2
4,2,1,"S",0.8,"High",0.5,"High",443,1,1,-0.7,2.7,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,5,1,2
5,2,1,"S",0.8,"High",0.5,"High",761,1,1,1.3,4,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,5,1,2
1,3,1,"C",0.2,"High",0.5,"Low",507,1,0,0,4,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,6,1,2
2,3,1,"C",0.2,"High",0.5,"Low",419,1,0,0,4,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,6,1,2
3,3,1,"C",0.2,"High",0.5,"Low",380,1,1,-0.7,3.3,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,6,1,2
4,3,1,"C",0.2,"High",0.5,"Low",652,0,0,0,3.3,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,6,1,2
5,3,1,"C",0.2,"High",0.5,"Low",452,0,0,0,3.3,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,6,1,2
1,4,1,"C",0.2,"Low",1,"High",1007,1,1,-0.7,2.6,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,6,1,2
2,4,1,"C",0.2,"Low",1,"High",659,0,0,0,2.6,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,6,1,2
3,4,1,"C",0.2,"Low",1,"High",395,0,0,0,2.6,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,6,1,2
4,4,1,"C",0.2,"Low",1,"High",355,0,0,0,2.6,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,6,1,2
5,4,1,"C",0.2,"Low",1,"High",411,0,0,0,2.6,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,6,1,2
1,5,1,"C",0.2,"High",0.5,"High",872,1,0,0,2.6,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,6,1,2
2,5,1,"C",0.2,"High",0.5,"High",404,1,1,-0.7,1.9,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,6,1,2
3,5,1,"C",0.2,"High",0.5,"High",714,0,0,0,1.9,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,6,1,2
4,5,1,"C",0.2,"High",0.5,"High",404,0,0,0,1.9,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,6,1,2
5,5,1,"C",0.2,"High",0.5,"High",403,0,0,0,1.9,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,6,1,2
1,6,1,"S",0.8,"Low",1,"Low",1434,1,1,0.3,2.2,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,6,1,2
2,6,1,"S",0.8,"Low",1,"Low",531,1,1,0.3,2.5,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,7,1,2
3,6,1,"S",0.8,"Low",1,"Low",450,1,1,-0.7,1.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,8,1,2
4,6,1,"S",0.8,"Low",1,"Low",427,1,1,0.3,2.1,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,8,1,2
5,6,1,"S",0.8,"Low",1,"Low",829,1,1,0.3,2.4,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,9,1,2
1,7,1,"S",0.8,"Low",1,"High",507,1,1,1.3,3.7,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,10,1,2
2,7,1,"S",0.8,"Low",1,"High",484,1,1,-0.7,3,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,11,1,2
3,7,1,"S",0.8,"Low",1,"High",451,1,1,-0.7,2.3,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,11,1,2
4,7,1,"S",0.8,"Low",1,"High",411,1,1,1.3,3.6,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,11,1,2
5,7,1,"S",0.8,"Low",1,"High",563,1,1,1.3,4.9,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,12,1,2
1,8,1,"S",0.8,"High",0.5,"Low",578,1,1,0.3,5.2,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,13,1,2
2,8,1,"S",0.8,"High",0.5,"Low",379,1,1,0.3,5.5,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,14,1,2
3,8,1,"S",0.8,"High",0.5,"Low",379,1,0,0,5.5,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,15,1,2
4,8,1,"S",0.8,"High",0.5,"Low",403,1,1,0.3,5.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,15,1,2
5,8,1,"S",0.8,"High",0.5,"Low",555,1,1,0.3,6.1,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,16,1,2
1,9,1,"S",0.8,"Low",1,"Low",1938,1,1,-0.7,5.4,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,17,1,2
2,9,1,"S",0.8,"Low",1,"Low",1810,1,1,0.3,5.7,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,17,1,2
3,9,1,"S",0.8,"Low",1,"Low",965,1,1,0.3,6,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,18,1,2
4,9,1,"S",0.8,"Low",1,"Low",477,1,1,0.3,6.3,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,19,1,2
5,9,1,"S",0.8,"Low",1,"Low",675,1,1,0.3,6.6,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,20,1,2
1,10,1,"S",0.8,"Low",1,"High",611,1,1,1.3,7.9,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,21,1,2
2,10,1,"S",0.8,"Low",1,"High",586,1,1,1.3,9.2,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,22,1,2
3,10,1,"S",0.8,"Low",1,"High",531,1,1,-0.7,8.5,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,23,1,2
4,10,1,"S",0.8,"Low",1,"High",476,1,1,1.3,9.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,23,1,2
5,10,1,"S",0.8,"Low",1,"High",547,1,1,1.3,11.1,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,24,1,2
1,11,1,"S",0.8,"High",0.5,"Low",442,1,1,0.3,11.4,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,25,1,2
2,11,1,"S",0.8,"High",0.5,"Low",532,1,1,0.3,11.7,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,26,1,2
